Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
 Edgewater,1,1,1,1862,42752,3899123,680,770,910,1160,1350,0.010964517
 Edison Park,0,0,1,978,28641,9635928,810,920,1090,1390,1620,0.002972314
 Middle Edgebrook,0,0,3,2786,81270,24209599,750,850,1010,1285,1505,0.003356933
 Old Irving Park,0,0,1,2468,71663,10468217,710,810,960,1220,1430,0.006845769
 Peterson Park,1,1,1,2683,38104,5253542,770,880,1040,1330,1550,0.007253011
 West Ridge,1,1,1,904,45274,5847014,770,880,1040,1330,1550,0.007743098
Alta Vista Terrace,2,2,1,2791,48281,6748617,890,1010,1200,1530,1780,0.007154207
Belmont Gardens,2,2,2,3367,90407,12631958,740,840,1000,1270,1490,0.007157006
Belmont Harbor,2,2,2,4361,65996,7914162,940,1060,1260,1610,1870,0.008338975
Bucktown,1,1,1,4877,66617,8944390,1010,1150,1360,1730,2020,0.007447909
Cathedral District,0,0,1,4287,28718,3637982,1140,1300,1540,1960,2290,0.007893937
Central Station,0,0,1,2021,24668,5256796,1140,1300,1540,1960,2290,0.004692592
Gold Coast,2,2,1,2921,37726,4176317,1010,1150,1360,1730,2020,0.009033318
Lincoln Square,4,4,2,3257,78651,10122969,760,860,1020,1300,1520,0.007769559
Loop,3,3,3,14072,88015,20475004,1071.428571,1221.428571,1445.714286,1840,2150,0.004298656
Near North Side,0,0,0,4096,33355,6067125,1010,1150,1365,1740,2030,0.005497662
Near West Side,14,14,4,7683,124003,27383756,856.6666667,973.3333333,1153.333333,1470,1713.333333,0.004528342
Noble Square,6,6,1,4334,52548,6389531,900,1020,1210,1540,1800,0.008224078
North Center,1,1,1,3898,92084,13107751,790,900,1070,1360,1590,0.007025156
Portage Park,1,1,3,2645,74298,18446105,750,850,1010,1290,1500,0.004027842
Schorsch Forest View,0,0,1,535,27613,8465988,810,920,1090,1390,1620,0.003261639
Uptown,5,5,1,3308,65790,6887350,680,780,920,1170,1370,0.009552295
West Town,6,6,3,4470,87291,10511986,790,890,1060,1350,1580,0.008303949
