Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
ARCO Towers (City of LA),0,0,0,50,15,319155,880,1070,1400,1920,2150,4.70E-05
Glendale (Verdugo City),0,0,0,0,156,25915,1270,1550,2020,2770,3100,0.00601968
Galleria (Glendale),0,0,0,1,328,113997,880,1070,1400,1920,2150,0.002877269
VA Hospital (Sawtelle),0,0,0,0,539,877374,880,1070,1400,1920,2150,0.000614333
Century City (City of LA),0,0,0,31,2424,849895,880,1070,1400,1920,2150,0.002852117
"Northridge (City of LA), California State University",0,0,1,1,2702,882333,880,1070,1400,1920,2150,0.003062336
USC (City of LA),0,0,0,1,3217,742759,880,1080,1410,1930,2170,0.004331149
Vernon,0,0,0,15,3223,15633185,550,670,870,1190,1340,0.000206164
Wilshire Blvd (City of LA),0,0,0,77,3800,1184445,1260,1540,2010,2750,3090,0.003208254
Playa Vista,0,0,1,12,5464,1582611,1390,1700,2210,3030,3390,0.003452522
Topanga,0,0,0,0,6368,51959503,1330,1630,2130,2920,3270,0.000122557
Los Angeles,0,0,0,93,7008,1782554,522.173913,635.2173913,830.8695652,1139.565217,1276.086957,0.003931438
Ladera Heights (City of LA),0,0,0,0,7827,4090954,1120,1370,1790,2450,2750,0.001913246
Bel Air Estates & Beverly Glen (City of LA),0,0,0,9,9377,19335985,1330,1630,2130,2920,3270,0.000484951
Playa del Rey (City of LA),0,0,0,14,12132,11404980,1310,1600,2090,2860,3210,0.001063746
"Commerce, City of",0,0,0,0,12520,14457577,710,870,1130,1550,1740,0.000865982
San Marino,0,0,0,0,13361,9892254,880,1070,1400,1920,2150,0.001350653
El Segundo,0,0,0,2,16654,15142094,1120,1370,1790,2450,2750,0.001099848
North Hollywood (City of LA)/Toluca Lake (City of LA),0,0,0,50,17473,5370807,970,1180,1540,2110,2370,0.003253329
Malibu,0,0,0,1,18116,298041072,440,535,700,960,1075,6.08E-05
Mission Hills (City of LA),0,0,0,19,18496,8429521,1030,1270,1650,2260,2530,0.002194193
Hermosa Beach,0,0,0,0,19506,5238068,1370,1680,2190,3000,3360,0.003723892
Santa Clarita,0,0,0,0,19786,373151071,477.5,582.5,760,1042.5,1167.5,5.30E-05
Beverly Hills,0,0,0,1,19989,4288143,1125,1375,1792.5,2457.5,2752.5,0.004661458
Stevenson Ranch,0,0,0,0,20158,97560026,1360,1660,2170,2970,3330,0.000206622
Shadow Hills (City of LA)/Sunland (City of LA),0,0,1,23,20372,21257816,830,1010,1320,1810,2030,0.00095833
West Beverly (City of LA),0,0,0,112,21397,4882696,1220,1490,1940,2660,2980,0.00438221
Marina del Rey,0,0,0,52,21576,8131830,1390,1700,2210,3030,3390,0.002653277
Beverly Hills/Beverly Glen (City of LA),0,0,0,2,21741,26383345,1390,1700,2210,3030,3390,0.000824043
Castellemare (City of LA)/Pacific Highlands (City of LA)/Pacifi,0,0,1,27,22986,60557886,880,1070,1400,1920,2150,0.000379571
West Hills (City of LA),0,0,0,21,24474,20860392,880,1070,1400,1920,2150,0.001173228
Burbank (Glenoaks),0,0,0,0,24939,12812967,1040,1270,1660,2280,2550,0.001946388
Palos Verdes Estates/Rolling Hills/Rolling Hills Estates,0,0,0,0,25209,33634809,880,1070,1400,1920,2150,0.000749491
Cheviot Hills (City of LA)/Rancho Park (City of LA),0,0,1,106,25403,10363493,1210,1480,1930,2650,2960,0.002451201
Agoura/Oak Park,0,0,0,1,25488,88628548,1390,1700,2210,3030,3390,0.000287582
Calabasas/Hidden Hills,0,0,0,2,25709,69273356,1390,1700,2210,3030,3390,0.000371124
Maywood,0,0,0,0,27372,3346384,740,910,1180,1620,1810,0.008179575
Eagle Rock (City of LA),1,1,1,59,27425,9383338,860,1060,1380,1890,2120,0.002922734
Tujunga (City of LA),0,0,1,25,27585,129350937,865,1055,1380,1890,2120,0.000213257
North Hollywood (City of LA)/Valley Village (City of LA),0,0,0,43,27927,6376445,910,1110,1450,1990,2230,0.004379713
Venice (City of LA),0,0,1,89,28341,7335173,1110,1360,1770,2430,2720,0.003863713
West Fairfax (City of LA),0,0,1,66,28418,5330221,1150,1400,1830,2510,2810,0.005331486
Atwater Village (City of LA),1,1,2,56,28514,10278733,900,1100,1440,1970,2210,0.002774077
