Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
Borough Park,0,0,7,9204,331983,16418148,1110,1160,1372.5,1785,2102.5,0.02022049
Bushwick and Williamsburg,6,6,3,7636,210468,9881339,1020,1063.333333,1263.333333,1640,1936.666667,0.021299543
Canarsie and Flatlands,0,0,5,4434,195027,32600816,1140,1193.333333,1413.333333,1836.666667,2166.666667,0.005982274
Central Brooklyn,2,2,11,11147,318898,15586339,1056,1102,1306,1698,2002,0.020460096
Central Harlem,8,8,6,5692,162652,5723388,904,944,1120,1456,1718,0.028418832
Central Queens,0,0,4,2510,96831,15991463,1216.666667,1270,1506.666667,1960,2310,0.006055168
Chelsea and Clinton,0,0,6,42057,144896,7128963,1400,1463.333333,1735,2255,2660,0.020324976
East Harlem,3,3,2,4771,109972,5753161,910,950,1125,1465,1725,0.019115057
East New York and New Lots,3,3,4,4312,187855,15868976,1070,1120,1330,1725,2040,0.011837878
Flatbush,4,4,5,9638,296583,15436207,1012.5,1052.5,1250,1625,1917.5,0.019213464
Gramercy Park and Murray Hill,2,2,7,25672,134516,4349496,1665,1742.5,2065,2685,3167.5,0.030926802
Greenpoint,3,3,3,10151,127051,10303626,1240,1295,1535,2000,2355,0.012330708
Greenwich Village and Soho,1,1,2,23259,83749,3742697,1566.666667,1633.333333,1940,2520,2973.333333,0.022376644
High Bridge and Morrisania,6,6,4,5669,207631,7819441,920,960,1136.666667,1476.666667,1743.333333,0.026553177
Hunts Point and Mott Haven,2,2,2,4696,136591,10631046,920,962.5,1140,1482.5,1747.5,0.012848312
Inwood and Washington Heights,2,2,4,9368,248508,8847493,1022,1066,1266,1646,1942,0.028087957
Jamaica,4,4,8,8251,289130,32028065,1134.285714,1185.714286,1402.857143,1824.285714,2150,0.009027395
Kingsbridge and Riverdale,0,0,4,2801,90892,10807214,1120,1170,1390,1810,2130,0.008410308
Lower East Side,4,4,5,25471,198781,5367659,1343.333333,1400,1660,2160,2546.666667,0.03703309
Lower Manhattan,1,1,1,9060,48376,3430709,1465,1536.666667,1818.333333,2368.333333,2785,0.014100875
Mid-Island,1,1,1,2935,85510,37189316,1220,1270,1510,1960,2310,0.002299316
North Queens,0,0,9,15668,259767,30893582,1194.285714,1245.714286,1477.142857,1920,2262.857143,0.008408445
Northeast Bronx,1,1,5,4541,190668,20054970,1012.5,1055,1252.5,1630,1920,0.009507269
Northeast Queens,0,0,4,4036,87972,19866762,1365,1422.5,1687.5,2195,2587.5,0.0044281
Northwest Brooklyn,4,4,6,20364,224199,17568550,1532,1600,1898,2468,2908,0.012761383
Northwest Queens,0,0,8,16729,201192,18509040,1213.333333,1268.333333,1503.333333,1955,2305,0.010869932
Port Richmond,1,1,3,2566,70387,15942343,1210,1266.666667,1500,1950,2300,0.004415098
Rockaways,0,0,6,2469,110899,16313992,748,782,928,1206,1424,0.006797784
South Shore,0,0,5,5100,189185,67496880,1166,1216,1442,1876,2208,0.00280287
Southeast Bronx,2,2,10,8833,297927,36630546,1041.666667,1090,1290,1678.333333,1976.666667,0.008133294
Southeast Queens,1,1,6,4672,189171,32480815,1270,1325.555556,1573.333333,2045.555556,2414.444444,0.005824084
Southern Brooklyn,4,4,9,9458,285502,21519951,982.5,1022.5,1215,1577.5,1862.5,0.013266852
Southwest Brooklyn,0,0,5,8581,199271,15073228,1113.333333,1160,1376.666667,1793.333333,2110,0.013220194
Southwest Queens,0,0,6,10003,266265,28146670,1227.5,1282.5,1520,1977.5,2328.75,0.009459911
Stapleton and St. George,1,1,4,4031,123648,30623132,1123.333333,1170,1386.666667,1803.333333,2126.666667,0.004037732
Sunset Park,0,0,1,8220,127863,7963900,1125,1175,1395,1815,2140,0.016055325
Upper East Side,2,2,5,14149,219277,5139760,1738.333333,1816.666667,2155,2801.666667,3306.666667,0.042662887
Upper West Side,0,0,5,10978,214881,5438956,1606.666667,1680,1993.333333,2590,3056.666667,0.039507766
West Central Queens,1,1,6,10101,245746,22362041,1235,1287.5,1530,1990,2345,0.010989426
West Queens,4,4,8,22957,480501,32582602,1228.571429,1284.285714,1521.428571,1977.142857,2331.428571,0.014747165
