City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
SF,Bayview-Hunters Point,2,2,1,155,33996,15566151,1840,2260,2780,3800,4560,0.00218397
SF,Castro/Noe Valley,2,2,2,215,31124,3691502,2640,3220,3980,5460,6540,0.008431256
SF,Chinatown,1,1,1,217,13768,699434,1620,2000,2460,3360,4040,0.019684488
SF,Haight-Ashbury,4,4,1,193,39169,4372283,2540,3120,3840,5260,6300,0.008958478
SF,Hayes Valley/Tenderloin/North of Market,9,9,1,432,31176,1737493,1520,1860,2300,3140,3780,0.017943094
SF,Ingelside-Excelsior/Crocker-Amazon,4,4,2,189,79407,8712507,2140,2620,3240,4440,5320,0.009114139
SF,Inner Mission/Bernal Heights,16,16,2,545,69333,6034796,2140,2600,3220,4400,5280,0.011488872
SF,Inner Richmond,5,5,1,236,38319,5106525,2320,2840,3500,4800,5740,0.007503929
SF,Lake Merced,0,0,2,130,28129,9354165,2620,3200,3960,5420,6500,0.00300711
SF,Marina,0,0,2,165,23088,2866147,2800,3440,4240,5800,6960,0.008055414
SF,North Beach/Chinatown,5,5,1,415,26237,2602499,2280,2780,3440,4720,5640,0.010081464
SF,Outer Richmond,1,1,1,157,41203,8042964,2300,2820,3480,4760,5720,0.005122863
SF,Parkside/Forest Hill,2,2,1,89,43698,6793787,2520,3080,3800,5200,6240,0.006432053
SF,Polk/Russian Hill (Nob Hill),6,6,0,376,55984,3372018,1940,2380,2940,4020,4820,0.016602521
SF,Potrero Hill,1,1,1,412,26599,4875049,3160,3860,4760,6520,7820,0.00545615
SF,South of Market,7,7,0,497,27170,3512156,1820,2240,2760,3780,4540,0.007735989
SF,St. Francis Wood/Miraloma/West Portal,1,1,1,69,19289,4594824,2280,2780,3440,4720,5640,0.004197985
SF,Sunset,3,3,2,251,56023,6122506,2360,2880,3560,4880,5840,0.009150338
SF,Twin Peaks-Glen Park,0,0,1,47,26881,5436598,2420,2960,3660,5020,6020,0.004944452
SF,Visitacion Valley/Sunnydale,3,3,2,73,40798,6306233,2080,2540,3140,4300,5160,0.006469472
SF,Western Addition/Japantown,5,5,2,235,33021,2889747,2440,3000,3700,5060,6080,0.011426952
