Name,ZIP
Little Walnut Creek Branch,78758
Carver Branch,78702
North Village Branch,78757
Ruiz Branch,78741
St. John Branch,78752
Pleasant Hill Branch,78745
Faulk Central Library,78701
Old Quarry Branch,78731
University Hills Branch,78723
Austin History Center,78701
New Central Library,78701
Windsor Park Branch,78723
Terrazas Branch,78702
Southeast Branch,78744
Howson Branch,78703
Willie Mae Kirk Branch,78702
Hampton Branch at Oak Hill,78749
Cepeda Branch,78702
Recycled Reads Bookstore,78756
Manchaca Road Branch,78745
Yarborough Branch,78756
Spicewood Springs Branch,78759
Twin Oaks Branch,78704
Milwood Branch,78727
