name,zipCode
19TH HOLE,21218
3 KINGS,21205
"3 MILES HOUSE, INC.",21211
3 W'S TAVERN,21205
300 SOUTH ANN STREET,21231
438 CLUB,21226
5-MILE HOUSE,21215
"743 S. MONTFORD,INC.",21224
A & W RESTAURANT,21224
A TASTE OF CHINA,21202
ABACROMBIE FINE FOODS,21201
ABC SUSHI,21205
ACROPOLIS RESTAURANT,21224
ADMIRAL FELL INN,21231
AG & HARP'S,21230
"AIRPORT BAR & GRILL, INC.",21222
AKBAR RESTAURANT,21201
"AKDEY SUBWAY, INC.",21223
ALDO'S   RESTAURANT,21202
ALE MARY'S,21231
ALEXANDER'S TAVERN,21231
ALFEO'S,21215
AL-HO CLUB,21223
BAY ATLANTIC CLUB,21212
BAY CAFE,21224
BEACH  BUMS CAF??,21230
BECKER'S TAVERN,21224
BEDROCK,21201
BEDROCK (KITCHEN AREA),21201
BELAIR PUB,21206
BELT STREET PUB,21230
BELVEDERE TOWERS CAF??,21210
"BERGER'S TAVERN, INCORPORATED",21206
BERMUDA BAR,21213
BERTHA'S RESTAURANT,21231
BERT'S EATS & DRINKS (3103-05),21218
BEST WESTERN TRAVEL PLAZA,21224
BIG APPLE TREE CAF??,21202
BIG BAD WOLF'S HOUSE OF BARBEQUE,21214
BIG KAHUNA CANTINA,21202
BIG TEE'S BAR & GRILL,21224
BILL'S 60'S & 70'S CLUB,21223
BILL'S CAFE,21222
BILL'S LIGHTHOUSE INN,21230
BILTMORE SUITES HOTEL,21201
BIRCHES RESTAURANT,21224
BIRDS OF A FEATHER,21231
"BLACKTIE SERVICE, LLP",21215
BLACKTIE SERVICES,21211
BLARNEY STONE INN,21225
BLARNEY STONE PUB,21231
BLEACHERS,21224
ALLEN RESTAURANT,21206
ALOHA TOKYO,21230
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,21210
AMBASSADOR DINNING ROOM,21218
AMBROSIA'S,21230
AMERICAN FOOD SERVICE,21223
AMERICAN LEGION FEDERAL POST #19,21217
AMERICAN LEGION POST #187,21226
AMERICAN LEIGON FORT MCHENRY POST #133,21230
AMIGO'S BAR,21224
ANGELINA'S,21234
ANGELO'S RESTAURANT & CARRYOUT,21211
ANGELS ROCK BAR,21202
ANGLE INN,21224
ANNABEL LEE TAVERN,21224
ANNS AT LEXINGTON PLACE,21201
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,21215
aramark at citi bank baltimore,21202
