zip code,population,latitude.x,longitude.x,latitude.y,longitude.y,city,state,county
60601,11110,41.8853104,-87.6221295,41.811929,-87.68732,Chicago,IL,Cook
60602,1204,41.8830726,-87.6291494,41.811929,-87.68732,Chicago,IL,Cook
60603,493,41.8801879,-87.6255095,42.055179,-87.72596,Chicago,IL,Cook
60604,570,41.8780953,-87.6284611,41.811929,-87.68732,Chicago,IL,Cook
60605,24668,41.8675665,-87.6172276,41.811929,-87.68732,Chicago,IL,Cook
60606,2308,41.8820664,-87.6373488,41.811929,-87.68732,Chicago,IL,Cook
60607,23897,41.8749318,-87.6515958,41.928881,-87.81381,Chicago,IL,Cook
60608,82739,41.8462226,-87.6723881,41.811929,-87.68732,Chicago,IL,Cook
60609,64906,41.8126802,-87.6569347,41.811929,-87.68732,Chicago,IL,Cook
60610,37726,41.9068436,-87.6319395,41.811929,-87.68732,Chicago,IL,Cook
60611,28718,41.8956999,-87.6137752,41.811929,-87.68732,Chicago,IL,Cook
60612,33472,41.8803197,-87.687749,41.811929,-87.68732,Chicago,IL,Cook
60613,48281,41.9569485,-87.6542721,41.811929,-87.68732,Chicago,IL,Cook
60614,66617,41.9227137,-87.6495775,41.811929,-87.68732,Chicago,IL,Cook
60615,40603,41.8016473,-87.5962879,41.811929,-87.68732,Chicago,IL,Cook
60616,48433,41.8448829,-87.6240323,41.811929,-87.68732,Chicago,IL,Cook
60617,84155,41.7181971,-87.5527389,41.811929,-87.68732,Chicago,IL,Cook
60618,92084,41.9469615,-87.7025478,41.811929,-87.68732,Chicago,IL,Cook
60619,63825,41.74369,-87.6055258,41.811929,-87.68732,Chicago,IL,Cook
60620,72216,41.7404975,-87.6525582,41.811929,-87.68732,Chicago,IL,Cook
60621,35912,41.7763822,-87.6395709,41.811929,-87.68732,Chicago,IL,Cook
60622,52548,41.902172,-87.6833374,41.811929,-87.68732,Chicago,IL,Cook
60623,92108,41.8488968,-87.7176611,41.811929,-87.68732,Chicago,IL,Cook
60624,38105,41.8805038,-87.7244439,41.811929,-87.68732,Chicago,IL,Cook
60625,78651,41.9732923,-87.7003511,41.811929,-87.68732,Chicago,IL,Cook
60626,50139,42.0100191,-87.6670946,41.811929,-87.68732,Chicago,IL,Cook
60628,72202,41.6908749,-87.615773,41.811929,-87.68732,Chicago,IL,Cook
60629,113916,41.7758678,-87.7114956,41.811929,-87.68732,Chicago,IL,Cook
60630,54093,41.9720714,-87.7565695,41.811929,-87.68732,Chicago,IL,Cook
60631,28641,41.9948546,-87.8130034,42.00583,-87.808611,Chicago,IL,Cook
60632,91326,41.8101664,-87.7132518,41.811929,-87.68732,Chicago,IL,Cook
60633,12927,41.6638088,-87.5614698,41.811929,-87.68732,Chicago,IL,Cook
60634,74298,41.9461885,-87.8061174,41.933355,-87.816309,Chicago,IL,Cook
60636,40916,41.7757392,-87.669064,41.811929,-87.68732,Chicago,IL,Cook
60637,49503,41.7816213,-87.5998763,41.811929,-87.68732,Chicago,IL,Cook
60638,55026,41.7814424,-87.7705341,41.811929,-87.68732,Chicago,IL,Cook
60639,90407,41.9205531,-87.7560557,41.811929,-87.68732,Chicago,IL,Cook
60640,65790,41.9728721,-87.6626039,41.811929,-87.68732,Chicago,IL,Cook
60641,71663,41.9466055,-87.7467867,41.811929,-87.68732,Chicago,IL,Cook
60643,49952,41.7002727,-87.6632674,41.811929,-87.68732,Chicago,IL,Cook
60644,48648,41.8800843,-87.7563733,41.811929,-87.68732,Chicago,IL,Cook
60645,45274,42.0085584,-87.6947354,42.00808,-87.721458,Chicago,IL,Cook
60646,27177,41.9930192,-87.7596273,42.00663,-87.75901,Chicago,IL,Cook
60647,87291,41.921215,-87.7010284,41.811929,-87.68732,Chicago,IL,Cook
60649,46650,41.7634204,-87.5658787,41.811929,-87.68732,Chicago,IL,Cook
60651,64267,41.9020954,-87.7408505,41.811929,-87.68732,Chicago,IL,Cook
60652,40959,41.7479398,-87.7148066,41.811929,-87.68732,Chicago,IL,Cook
60653,29908,41.8199617,-87.6059842,41.811929,-87.68732,Chicago,IL,Cook
60654,14875,41.8922891,-87.6372711,41.811929,-87.68732,Chicago,IL,Cook
60655,28550,41.6947815,-87.7037791,41.811929,-87.68732,Chicago,IL,Cook
60656,27613,41.9742801,-87.8271313,41.97353,-87.865763,Chicago,IL,Cook
60657,65996,41.9402931,-87.6468569,41.811929,-87.68732,Chicago,IL,Cook
60659,38104,41.9914885,-87.7039859,41.997247,-87.716621,Chicago,IL,Cook
60660,42752,41.9911098,-87.6630763,41.811929,-87.68732,Chicago,IL,Cook
60661,7792,41.8830256,-87.6440977,41.811929,-87.68732,Chicago,IL,Cook
