Name,ZIP
N  HOLLYWOOD REGIONAL LIBRARY,91601
HARBOR GATEWAY-HARBOR CITY LIBRARY,90710
ASCOT BRANCH LIBRARY,90003
GOLDWYN HOLLYWOOD REGNL LIBRARY,90028
CANOGA PARK BRANCH LIBRARY,91303
EL SERENO BRANCH LIBRARY - NEW,90032
WILSHIRE BRANCH LIBRARY,90004
JOHN C. FREMONT LIBRARY,90038
ENCINO-TARZANA BRANCH LIBRARY,91356
LIBRARY INNER CITY MOBILE UNITS,90047
Los Feliz Branch Library,90027
OLD HYDE PARK BRANCH LIBRARY,90043
WILL AND ARIEL DURANT BRANCH LIBRARY -NEW,90046
SYLMAR BRANCH LIBRARY,91342
LINCOLN HEIGHTS BRANCH LIBRARY,90031
BEN FRANKLIN LIBRARY,90033
CENTRAL LIBRARY,90017
MEMORIAL BRANCH LIBRARY,90019
ANGELES MESA BRANCH LIBRARY,90043
EAGLE ROCK BRANCH LIBRARY,90041
OLD WASHINGTON IRVING LIBRARY-VACANT BLDG,90019
MARK TWAIN BRANCH LIBRARY,90003
ECHO PARK BRANCH LIBRARY,90026
SUNLAND-TUJUNGA BRANCH LIBRARY,91042
LINCOLN HEIGHTS BRANCH LIBRARY,90031
OLD CYPRESS PARK BRANCH LIBRARY,90065
JUNIPERO SERRA Branch Library,90037
CAHUENGA BRANCH LIBRARY,90029
PACOIMA BRANCH LIBRARY,91331
PORTER RANCH BRANCH LIBRARY,91326
SHERMAN OAKS BRANCH LIBRARY,91423
LINCOLN HEIGHTS BRANCH LIBRARY,90031
NEW CANOGA PARK BRANCH LIBRARY,91303
PANORAMA CITY BRANCH LIBRARY,91402
WOODLAND HILLS BRANCH LIBRARY,91364
EDENDALE BRANCH LIBRARY,90026
CHATSWORTH BRANCH LIBRARY,91311
SYLMAR PARK - TEMP LIBRARY,91342
R.L. STEVENSON LIBRARY,90023
FAIRFAX BRANCH LIBRARY,90036
ARROYO SECO LIBRARY,90042
WEST LOS ANGELES REGIONAL LIBRARY,90025
SYLMAR BRANCH LIBRARY,91342
JOHN MUIR BRANCH LIBRARY,90044
CHINATOWN BRANCH LIBRARY-NEW,90012
NEW HYDE PARK BRANCH LIBRARY,90043
PLAYA VISTA BRANCH LIBRARY,90094
future Lake View Terrace Branch Library,91040
BALDWIN HILLS BRANCH LIBRARY,90016
WILSHIRE BRANCH LIBRARY-VACANT-WILL BE RENOVATED,90004
PALISADES BRANCH LIBRARY,90272
SILVER LAKE BRANCH LIBRARY,90039
JEFFERSON BRANCH LIBRARY,90018
MALABAR BRANCH LIBRARY,90033
ENCINO-TARZANA BRANCH LIBRARY,91356
FELIPE DE NEVE BRANCH LIBRARY,90057
ROBERTSON BRANCH LIBRARY,90035
VALLEY PLAZA BRANCH LIBRARY,91605
SAN PEDRO REGIONAL LIBRARY,90731
JOHN MUIR BRANCH LIBRARY,90044
WESTWOOD BRANCH LIBRARY,90024
VERMONT SQUARE LIBRARY,90037
VERNON BRANCH LIBRARY,90011
NORTHRIDGE BRANCH LIBRARY,91330
PLATT BRANCH LIBRARY,91367
NEW CYPRESS PARK BRANCH LIBRARY,90065
VERA DAVIS - VENICE BRANCH LIBRARY-CDD program using bldg,90291
PICO-UNION BRANCH LIBRARY,90006
MAR VISTA BRANCH LIBRARY,90066
WEST VALLEY REGIONAL LIBRARY,91335
BRENTWOOD BRANCH LIBRARY,90049
CENTRAL LIBRARY GARDEN,90017
PALMS-RANCHO PARK LIBRARY,90064
STUDIO CITY BRANCH LIBRARY,91604
ATWATER VILLAGE BRANCH LIBRARY,90039
CENTRAL LIBRARY,90017
WESCHESTER LOYOLA  BRANCH LIBRARY,90045
SUN VALLEY BRANCH LIBRARY,91352
LIBRARY MAINTENANCE BUILDING,90033
MAR VISTA BRANCH LIBRARY,90066
WILMINGTON BRANCH LIBRARY,90744
ASCOT BRANCH LIBRARY,90003
GRANADA HILLS BRANCH LIBRARY,91344
CENTRAL LIBRARY,90017
EL SERENO BRANCH LIBRARY - NEW,90032
VAN NUYS BRANCH LIBRARY,91401
MID VALLEY REGIONAL LIBRARY SITE,91343
WASHINGTON IRVING LIBRARY,90019
EXPOSITION PARK LIBRARY,90062
VERNON BRANCH LIBRARY POCKET PARK,90011
