zip code,population,latitude.x,longitude.x,latitude.y,longitude.y,city,state,county
10001,21102,40.750672,-73.9972808,40.750422,-73.996328,New York,NY,New York
10002,81410,40.7157619,-73.986258,40.718758,-73.986427,New York,NY,New York
10003,56024,40.7318292,-73.9891809,40.730223,-73.988564,New York,NY,New York
10004,3089,40.6886296,-74.0182442,40.696355,-74.025276,New York,NY,New York
10005,7135,40.7059736,-74.0087681,40.706903,-74.008654,New York,NY,New York
10006,3011,40.7096144,-74.0129537,40.708834,-74.013168,New York,NY,New York
10007,6988,40.7138637,-74.0078064,40.713941,-74.007401,New York,NY,New York
10009,61347,40.726408,-73.978636,40.72775,-73.980396,New York,NY,New York
10010,31834,40.7390449,-73.9822316,40.739024,-73.983542,New York,NY,New York
10011,50984,40.7420017,-74.000594,40.740916,-73.999769,New York,NY,New York
10012,24090,40.7255806,-73.9980784,40.729124,-73.991582,New York,NY,New York
10013,27700,40.720107,-74.0049277,40.722105,-74.003497,New York,NY,New York
10014,31959,40.7336977,-74.0070331,40.738088,-74.005095,New York,NY,New York
10016,54183,40.7452204,-73.9782938,40.745527,-73.978449,New York,NY,New York
10017,16575,40.7523468,-73.9724169,40.752955,-73.973196,New York,NY,New York
10018,5229,40.7553294,-73.9931272,40.755332,-73.993172,New York,NY,New York
10019,42870,40.765793,-73.9870674,40.765926,-73.985443,New York,NY,New York
10020,0,40.7582363,-73.978833,40.735449,-73.996788,New York,NY,New York
10021,43631,40.7691586,-73.9586301,40.768823,-73.960257,New York,NY,New York
10022,31924,40.7585548,-73.9678171,40.758775,-73.967842,New York,NY,New York
10023,60998,40.7759212,-73.9826066,40.776765,-73.982213,New York,NY,New York
10024,59283,40.798452,-73.9744135,40.80813,-73.965653,New York,NY,New York
10025,94600,40.7986009,-73.9666227,40.798664,-73.967778,New York,NY,New York
10026,34003,40.8023805,-73.9526814,40.802918,-73.953107,New York,NY,New York
10027,59707,40.811819,-73.9532236,40.812242,-73.9532,New York,NY,New York
10028,45141,40.7764265,-73.9534932,40.776629,-73.953914,New York,NY,New York
10029,76003,40.7916981,-73.9438757,40.791884,-73.943517,New York,NY,New York
10030,26999,40.8182666,-73.9428564,40.818474,-73.94329,New York,NY,New York
10031,56438,40.8252941,-73.9500562,40.823438,-73.949039,New York,NY,New York
10032,57331,40.8388244,-73.9428461,40.839137,-73.942181,New York,NY,New York
10033,53926,40.8505376,-73.9338627,40.851293,-73.934764,New York,NY,New York
10034,38908,40.86723,-73.9244152,40.863194,-73.926959,New York,NY,New York
10035,33969,40.7956523,-73.9297309,40.801913,-73.9347,New York,NY,New York
10036,24711,40.7592804,-73.9899094,40.75953,-73.989847,New York,NY,New York
10037,17416,40.8129844,-73.937285,40.813884,-73.938498,New York,NY,New York
10038,20300,40.7093204,-74.0025324,40.710223,-74.003368,New York,NY,New York
10039,24527,40.8308558,-73.9360686,40.826736,-73.939398,New York,NY,New York
10040,41905,40.8582976,-73.9305196,40.858692,-73.930999,New York,NY,New York
10044,11661,40.7620505,-73.949933,40.761812,-73.950521,New York,NY,New York
10069,5199,40.7759783,-73.9905277,40.777952,-73.988381,New York,NY,New York
10103,3,40.7607797,-73.9776696,40.760264,-73.97624,New York,NY,New York
10110,0,40.7544986,-73.9822564,40.753987,-73.980811,New York,NY,New York
10111,0,40.759114,-73.977596,40.759224,-73.977762,New York,NY,New York
10112,0,40.7591675,-73.9796681,40.759287,-73.979808,New York,NY,New York
10115,0,40.8108519,-73.9637437,40.811115,-73.96423,New York,NY,New York
10119,92,40.7503098,-73.9929788,40.780751,-73.977182,New York,NY,New York
10128,60453,40.7814298,-73.9499423,40.780989,-73.95158,New York,NY,New York
10152,0,40.7584035,-73.9720314,40.758937,-73.97302,New York,NY,New York
10153,0,40.7636221,-73.9724387,40.764068,-73.97348,New York,NY,New York
10154,0,40.7577785,-73.9724875,40.758304,-73.973468,New York,NY,New York
10162,1685,40.7692984,-73.9499422,40.769945,-73.951117,New York,NY,New York
10165,2,40.752131,-73.9787223,40.752351,-73.979132,New York,NY,New York
10167,0,40.7546485,-73.974771,40.754858,-73.97497,New York,NY,New York
10168,0,40.7514484,-73.9771032,40.751933,-73.976794,New York,NY,New York
10169,0,40.7543913,-73.9760984,40.75474,-73.976595,New York,NY,New York
10170,2,40.7526253,-73.9758766,40.752621,-73.97548,New York,NY,New York
10171,0,40.7558993,-73.9738583,40.756447,-73.974821,New York,NY,New York
10172,0,40.7552733,-73.9743148,40.755839,-73.975279,New York,NY,New York
10173,2,40.7541306,-73.9793637,40.754305,-73.979564,New York,NY,New York
10174,0,40.751441,-73.9750035,40.751656,-73.97516,New York,NY,New York
10177,0,40.7551387,-73.9759337,40.755332,-73.976082,New York,NY,New York
10199,9,40.7513926,-73.9972289,40.750308,-74.00058,New York,NY,New York
10271,0,40.7082356,-74.0105414,40.708918,-74.011066,New York,NY,New York
10278,0,40.7151821,-74.0037784,40.780751,-73.977182,New York,NY,New York
10279,0,40.7126262,-74.0086688,40.712697,-74.007812,New York,NY,New York
10280,7853,40.7087777,-74.0168084,40.708857,-74.016217,New York,NY,New York
10282,4783,40.7166515,-74.0153753,40.716597,-74.01459,New York,NY,New York
