zip code,population,latitude.x,longitude.x,latitude.y,longitude.y,city,state,county
94102,31176,37.7795882,-122.4193184,37.779278,-122.416582,San Francisco,CA,San Francisco
94103,27170,37.773134,-122.4111673,37.775678,-122.412131,San Francisco,CA,San Francisco
94104,406,37.7914094,-122.4021298,37.790728,-122.401732,San Francisco,CA,San Francisco
94105,5846,37.789864,-122.3936648,37.789595,-122.395631,San Francisco,CA,San Francisco
94107,26599,37.7604596,-122.3997237,37.769029,-122.393681,San Francisco,CA,San Francisco
94108,13768,37.7920074,-122.4085752,37.791028,-122.408782,San Francisco,CA,San Francisco
94109,55984,37.7953876,-122.4224529,37.795219,-122.420782,San Francisco,CA,San Francisco
94110,69333,37.7500215,-122.4152015,37.748932,-122.416281,San Francisco,CA,San Francisco
94111,3713,37.7993672,-122.3984074,37.773579,-122.405331,San Francisco,CA,San Francisco
94112,79407,37.7203748,-122.4429499,37.721981,-122.439382,San Francisco,CA,San Francisco
94114,31124,37.7580567,-122.4354097,37.758279,-122.439332,San Francisco,CA,San Francisco
94115,33021,37.7859694,-122.4372532,37.786028,-122.437032,San Francisco,CA,San Francisco
94116,43698,37.7453994,-122.4860655,37.743857,-122.483232,San Francisco,CA,San Francisco
94117,39169,37.7694362,-122.4476618,37.769079,-122.443882,San Francisco,CA,San Francisco
94118,38319,37.7800974,-122.462605,37.778779,-122.459982,San Francisco,CA,San Francisco
94121,41203,37.7767691,-122.4947073,37.777129,-122.491682,San Francisco,CA,San Francisco
94122,56023,37.7587967,-122.4851278,37.761179,-122.475732,San Francisco,CA,San Francisco
94123,23088,37.8009336,-122.4383664,37.79967,-122.435732,San Francisco,CA,San Francisco
94124,33996,37.7288947,-122.3827787,37.73123,-122.382857,San Francisco,CA,San Francisco
94127,19289,37.7362198,-122.459338,37.73403,-122.458632,San Francisco,CA,San Francisco
94128,69,37.6263694,-122.3856944,37.621582,-122.392882,San Francisco,CA,San Mateo
94129,3183,37.7973356,-122.4644622,37.798878,-122.465682,San Francisco,CA,San Francisco
94130,2880,37.8208942,-122.3697253,37.819763,-122.368433,San Francisco,CA,San Francisco
94131,26881,37.745916,-122.4414719,37.74363,-122.443182,San Francisco,CA,San Francisco
94132,28129,37.7219689,-122.4841664,37.722631,-122.482483,San Francisco,CA,San Francisco
94133,26237,37.8045315,-122.410852,37.801928,-122.410182,San Francisco,CA,San Francisco
94134,40798,37.7210518,-122.4135725,37.72168,-122.410832,San Francisco,CA,San Francisco
