Zip Code,Inspection Date,Score
78757,12/11/2014,96
78731,3/20/2014,89
78721,5/6/2014,83
78745,9/29/2015,94
78703,1/22/2016,86
78729,1/9/2015,89
78759,2/23/2015,92
78748,2/4/2014,94
78653,12/28/2016,88
78753,12/17/2014,90
78731,11/21/2016,100
78748,6/26/2015,91
78705,4/29/2014,96
78751,5/14/2015,100
78749,2/1/2016,95
78759,5/26/2015,97
78748,2/4/2014,96
78613,6/12/2014,87
78717,7/6/2015,100
78757,12/3/2015,80
78736,6/28/2016,94
78748,11/1/2016,99
78758,7/10/2015,97
78729,1/28/2016,95
78729,8/8/2016,95
78738,4/15/2015,89
78751,5/12/2016,92
78732,3/24/2016,92
78745,12/15/2015,88
78660,7/26/2016,98
78729,2/28/2014,89
78723,2/25/2016,81
78721,9/22/2015,92
78717,8/29/2016,95
78745,3/10/2016,73
78704,6/29/2015,87
78758,3/4/2015,95
78759,1/30/2015,97
78728,9/21/2015,90
78704,11/18/2016,89
78728,1/22/2015,100
78757,2/9/2016,81
78704,8/9/2016,95
78731,4/12/2016,79
78705,1/13/2015,89
78701,9/16/2016,80
78702,9/10/2015,97
78753,2/27/2014,97
78728,8/21/2015,76
78753,8/17/2016,91
78704,6/30/2015,100
78745,4/24/2014,88
78723,3/17/2016,95
78730,3/25/2014,100
78727,6/23/2016,90
78736,5/5/2015,93
78727,11/16/2015,77
"6
Austin, TX  78741",2/27/2014,87
78704,7/30/2014,100
"6
Austin, TX  78741",10/28/2016,93
78750,5/15/2015,94
78757,1/6/2015,93
78705,2/25/2015,91
78748,7/10/2014,82
78746,10/5/2016,100
78757,12/4/2014,91
78756,5/13/2015,93
78757,7/19/2014,100
78727,9/29/2015,84
78748,3/17/2016,98
78723,5/7/2015,90
78726,6/16/2016,89
78613,7/21/2016,80
78660,8/31/2015,100
78704,8/17/2015,90
78704,1/3/2017,88
78723,9/8/2014,85
78758,9/15/2016,97
78704,12/6/2016,76
78701,12/10/2015,91
78731,10/24/2014,77
78704,10/15/2014,97
78705,3/26/2015,92
78702,1/21/2015,88
78759,12/17/2015,95
78704,12/29/2015,94
78728,8/26/2016,90
78753,8/4/2016,95
78727,7/7/2014,81
78701,2/20/2015,84
78759,10/9/2015,100
78741,12/12/2014,89
78749,6/18/2015,100
78725,7/12/2016,98
78705,7/8/2016,95
78757,7/16/2014,100
78723,10/27/2015,93
78736,4/24/2014,85
78735,9/19/2016,87
78726,4/15/2016,86
78705,6/9/2016,92
78759,7/23/2014,97
78704,2/17/2015,100
78717,9/30/2014,86
78721,9/29/2016,100
78737,9/10/2014,86
78741,8/17/2015,89
78701,9/30/2014,94
78735,9/12/2016,99
78705,8/27/2015,82
78753,3/13/2015,86
78741,11/18/2015,90
78704,11/23/2015,99
78735,10/16/2014,100
78705,1/5/2017,100
78723,3/3/2015,100
78726,10/14/2014,100
78744,1/4/2017,90
78652,4/27/2015,93
78652,5/2/2016,88
78652,7/25/2014,100
78652,10/21/2015,87
78652,10/24/2016,85
78652,12/15/2014,93
78745,3/12/2015,100
78704,3/20/2015,97
78751,6/26/2014,97
78702,1/30/2015,89
78757,9/1/2016,82
"6
Austin, TX  78741",8/29/2014,92
78704,3/21/2014,97
78717,2/8/2016,80
78717,2/10/2015,92
78717,3/11/2014,88
78717,7/8/2016,95
78717,8/12/2015,93
78717,9/12/2014,97
78717,12/15/2016,90
78717,5/11/2016,96
78717,9/29/2015,84
