the_geom,SYSTEM,DEPARTMENT,GISPROPNUM,COMMUNITYB,COUNCILDIS,PRECINCT,ZIPCODE,BOROUGH,SubZnName,DIMENSIONS,FIELD_LIGH,FIELD_NUMB,NAME,SURFACE_TY,Zone_Name,Frisbee,AdultBaseb,AdultSoftb,AdultFootb,Youthfootb,NonRegulat,LLBaseb13a,LLBaseb12a,TBall,LLSoftball,Kickball,Cricket,Tennis,Basketball,Hockey,TrackandFi,Lacrosse,Handball,Volleyball,Netball,Bocce,Rugby,FlagFootba,Wheelchair
"MULTIPOLYGON (((-73.95787917040873 40.72902907434412, -73.95770149190686 40.729046289074496, -73.95766475489904 40.728824346096765, -73.95784329180536 40.72880776389416, -73.95787917040873 40.72902907434412)))",B001-BASKETBALL-1,B-01,B001,301,33,94,11222,B,Basketball-01,Full Court,No,01,,Asphalt,American Playground,,,,,,,,,,,,,,Yes,,,,,,,,,,
"MULTIPOLYGON (((-73.95807261912218 40.72901274758143, -73.9578942269857 40.72902799023524, -73.95785940176386 40.728806817953355, -73.95803820420609 40.72878947911833, -73.95807261912218 40.72901274758143)))",B001-BASKETBALL-2,B-01,B001,301,33,94,11222,B,Basketball-02,Full Court,No,02,,Asphalt,American Playground,,,,,,,,,,,,,,Yes,,,,,,,,,,
"MULTIPOLYGON (((-73.9582228973356 40.72876370887867, -73.95824361248151 40.72888286270452, -73.95815045105707 40.72889152959878, -73.95812973607443 40.72877237665681, -73.9582228973356 40.72876370887867)))",B001-HANDBALL-1,B-01,B001,301,33,94,11222,B,Handball-02,Handball,No,02,,Asphalt,American Playground,,,,,,,,,,,,,,,,,,Yes,,,,,,
"MULTIPOLYGON (((-73.95824361248151 40.72888286270452, -73.95826233939009 40.7289995547137, -73.95816917898753 40.729008223424444, -73.95815045105707 40.72889152959878, -73.95824361248151 40.72888286270452)))",B001-HANDBALL-2,B-01,B001,301,33,94,11222,B,Handball-01,Handball,No,01,,Asphalt,American Playground,,,,,,,,,,,,,,,,,,Yes,,,,,,
"MULTIPOLYGON (((-74.0014599836656 40.597099568409924, -74.00146103314509 40.59690198474711, -74.00150729060981 40.596856072808755, -74.00178049783042 40.59687003150265, -74.00182068947183 40.59689855672558, -74.00184307748108 40.59692292630976, -74.00185957398372 40.59694989039045, -74.00187307891697 40.59700826474352, -74.0018595772352 40.59706664043542, -74.00182069545484 40.5971179753447, -74.00176112704649 40.59715607828151, -74.00168805241155 40.59717635284165, -74.0016102894677 40.59717635395761, -74.00153721383131 40.59715608149483, -74.0015052413713 40.59713901701628, -74.0014599836656 40.597099568409924)))",B007-BASEBALL-1,B-11,B007,311,47,62,11214,B,Softball-03,"60ft base path, 150-200ft fence",No,03,,Natural,Bensonhurst Park,,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,
"MULTIPOLYGON (((-74.00262428888611 40.59576537218021, -74.00257520117573 40.595749397118496, -74.00253083518085 40.595727074147746, -74.00249241128813 40.59569907233531, -74.0024611640625 40.595666290382205, -74.00243809770075 40.595629781884504, -74.00242395413427 40.59559072111296, -74.00241918703902 40.595550362489355, -74.00242395120416 40.59551000456525, -74.00243809190104 40.5954709431949, -74.00246115551657 40.59543443371312, -74.00249240018638 40.59540165041235, -74.00253082178521 40.59537364601891, -74.0025751858234 40.59535132197663, -74.00262406643034 40.59533539512724, -74.0026967315872 40.595324793392514, -74.00289626958508 40.59554401357709, -74.00288908264942 40.59561003917886, -74.00262428888611 40.59576537218021)))",B007-BASEBALL-2,B-11,B007,311,47,62,11214,B,Softball-02,"60ft base path, 150-200ft fence",No,02,,Asphalt,Bensonhurst Park,,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,
"MULTIPOLYGON (((-74.00324813802276 40.59588004680354, -74.0032261219469 40.59592829742631, -74.00319904536005 40.595962844932835, -74.00316431206029 40.595993152082926, -74.00312303721562 40.59601824447388, -74.0030765474747 40.596037316095426, -74.00302633843836 40.596049752745536, -74.00297402267846 40.5960551563465, -74.00292128129976 40.5960533521515, -74.00286981195727 40.59604439775095, -74.00282126505924 40.59602858217374, -74.00277720359756 40.59600641418116, -74.00273904407625 40.595978604256835, -74.00270801043634 40.595946047497286, -74.00268510215702 40.59590979029222, -74.00266716408962 40.595847874375764, -74.00294395806874 40.59568454883155, -74.00303083126117 40.59568657635122, -74.00324813802276 40.59588004680354)))",B007-BASEBALL-3,B-11,B007,311,47,62,11214,B,Softball-01,"60ft base path, 150-200ft fence",No,01,,Natural,Bensonhurst Park,,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,
"MULTIPOLYGON (((-74.00166419788084 40.59765802646484, -74.00146656373536 40.59783934215203, -74.00132792159759 40.597752383985274, -74.00152867124085 40.597572050063086, -74.00166419788084 40.59765802646484)))",B007-BASKETBALL-1,B-11,B007,311,47,62,11214,B,Basketball-04,Full Court,No,04,,Asphalt,Bensonhurst Park,,,,,,,,,,,,,,Yes,,,,,,,,,,
"MULTIPOLYGON (((-74.00113596208993 40.597745694260595, -74.00093135110117 40.59791864594254, -74.00079981088092 40.59782767435348, -74.00100453889961 40.59765532355169, -74.00113596208993 40.597745694260595)))",B007-BASKETBALL-2,B-11,B007,311,47,62,11214,B,Basketball-01,Full Court,No,01,,Asphalt,Bensonhurst Park,,,,,,,,,,,,,,Yes,,,,,,,,,,
"MULTIPOLYGON (((-74.00129835686127 40.59762682537495, -74.00137974332546 40.59755192436956, -74.00146530635753 40.597607536877504, -74.00138582433637 40.59768205880016, -74.00129835686127 40.59762682537495)))",B007-BASKETBALL-3,B-11,B007,311,47,62,11214,B,Basketball-03,Half Court,No,03,,Asphalt,Bensonhurst Park,,,,,,,,,,,,,,Yes,,,,,,,,,,
