Area,AreaName,SOC Code,SOC Title,Employment,MeanHourlyWage,MeanAnnualWage,EntryLevelHourlyWage,EntryLevelAnnualWage,ExperiencedLevelHourlyWage,ExperiencedLevelAnnualWage,10%HourlyWage,10%AnnualWage,25%HourlyWage,25%AnnualWage,MedianHourlyWage,MedianAnnualWage,75%HourlyWage,75%AnnualWage,90%HourlyWage,90%AnnualWage
000009,Connecticut Statewide,00-0000,Total all occupations,"1,659,430",27.54,"57,287",11.61,"24,165",35.5,"73,859",9.80,"20,389",13.34,"27,748",21.45,"44,615",34.34,"71,426",50.14,"104,304"
000009,Connecticut Statewide,11-0000,Management Occupations,"114,720",63.74,"132,585",32.60,"67,807",79.32,"164,974",27.63,"57,471",39.88,"82,953",55.95,"116,375",77.89,"162,006",>90.00,">187,200"
000009,Connecticut Statewide,11-1011,Chief Executives,"1,370",111.90,"232,751",65.81,"136,883",134.95,"280,684",58.41,"121,492",80.64,"167,727",>90.00,">187,200",>90.00,">187,200",>90.00,">187,200"
000009,Connecticut Statewide,11-1021,General and Operations Managers,"34,400",68.64,"142,757",30.25,"62,926",87.82,"182,678",25.76,"53,572",37.35,"77,682",57.22,"119,005",91.73,"190,814",>90.00,">187,200"
000009,Connecticut Statewide,11-1031,Legislators,400,N/A,"43,308",N/A,"21,275",N/A,"54,319",N/A,"19,669",N/A,"20,395",N/A,"35,459",N/A,"44,096",N/A,"89,257"
000009,Connecticut Statewide,11-2011,Advertising and Promotions Managers,290,60.02,"124,838",32.62,"67,858",73.71,"153,328",29.18,"60,674",37.72,"78,460",57.18,"118,934",76.09,"158,261",>90.00,">187,200"
000009,Connecticut Statewide,11-2021,Marketing Managers,"4,790",71.44,"148,601",41.68,"86,708",86.32,"179,536",37.01,"76,997",48.59,"101,056",62.64,"130,283",85.79,"178,441",>90.00,">187,200"
000009,Connecticut Statewide,11-2022,Sales Managers,"6,990",72.29,"150,361",38.78,"80,681",89.04,"185,206",34.67,"72,115",46.37,"96,430",64.60,"134,386",89.50,"186,168",>90.00,">187,200"
000009,Connecticut Statewide,11-2031,Public Relations and Fundraising Managers,920,58.92,"122,556",35.52,"73,886",70.62,"146,892",32.12,"66,804",40.58,"84,396",54.38,"113,121",73.25,"152,366",90.99,"189,248"
000009,Connecticut Statewide,11-3011,Administrative Services Managers,"4,260",51.61,"107,339",34.68,"72,136",60.07,"124,951",31.67,"65,873",39.53,"82,226",48.61,"101,117",60.41,"125,657",75.06,"156,132"
