Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State, 00-0000,"Total, All Occupations",8810950,$56690,$41650,$22330,$73870
1,36,New York State, 11-0000,Management Occupations,445250,$141300,$121450,$70440,$176720
1,36,New York State, 11-1011,Chief Executives,18570,$208430,,$113900,
1,36,New York State, 11-1021,General and Operations Managers,146050,$143480,$120780,$64950,$182740
1,36,New York State, 11-1031,Legislators,6470,$83810,$84380,$69200,$91110
1,36,New York State, 11-2011,Advertising and Promotions Managers,4320,$175130,$171100,$93600,
1,36,New York State, 11-2021,Marketing Managers,12390,$179560,$168980,$104970,
1,36,New York State, 11-2022,Sales Managers,18060,$177040,$169580,$87630,
1,36,New York State, 11-2031,Public Relations and Fundraising Managers,5790,$152480,$139240,$86410,$185520
1,36,New York State, 11-3011,Administrative Services Managers,19220,$119490,$109470,$68290,$145090
1,36,New York State, 11-3021,Computer and Information Systems Managers,25020,$159560,$146600,$96750,
1,36,New York State, 11-3031,Financial Managers,37940,$177470,$164470,$94170,
1,36,New York State, 11-3051,Industrial Production Managers,4940,$115970,$106490,$71920,$138000
1,36,New York State, 11-3061,Purchasing Managers,4200,$130590,$120950,$78200,$156780
1,36,New York State, 11-3071,"Transportation, Storage, and Distribution Managers",3460,$111730,$100760,$68260,$133470
1,36,New York State, 11-3111,Compensation and Benefits Managers,1600,$151890,$141760,$91390,$182140
1,36,New York State, 11-3121,Human Resources Managers,9510,$137260,$120060,$79900,$165940
1,36,New York State, 11-3131,Training and Development Managers,2530,$141070,$127380,$83540,$169840
1,36,New York State, 11-9013,"Farmers, Ranchers, and Other Agricultural Managers",n/a,$68490,$73480,$35580,$84950
1,36,New York State, 11-9021,Construction Managers,13170,$111940,$103800,$66680,$134560
1,36,New York State, 11-9031,"Education Administrators, Preschool and Childcare Center/Program",4460,$66020,$58650,$37190,$80430
1,36,New York State, 11-9032,"Education Administrators, Elementary and Secondary School",18140,$114780,$113930,$80380,$131970
1,36,New York State, 11-9033,"Education Administrators, Postsecondary",10090,$117260,$102050,$63210,$144290
1,36,New York State, 11-9039,"Education Administrators, All Other",890,$101430,$92490,$58590,$122850
1,36,New York State, 11-9041,Architectural and Engineering Managers,6670,$148750,$140120,$97970,$174140
1,36,New York State, 11-9051,Food Service Managers,6970,$70570,$65350,$44410,$83650
