"","population","latitude","longitude"
"601","18570","18.1805555","-66.7499615"
"602","41520","18.3622681","-67.17613"
"603","54689","18.455183","-67.1198874"
"606","6615","18.1583451","-66.9329106"
"610","29016","18.2909554","-67.1258677"
"612","67010","18.4022392","-66.7113998"
"616","11017","18.4204125","-66.6719793"
"617","24597","18.4451465","-66.5596961"
"622","7853","17.9912454","-67.1539931"
"623","43061","18.0834349","-67.1538767"
"624","26241","18.0632749","-66.7159657"
"627","35159","18.4150296","-66.8618789"
"631","1852","18.1906068","-66.8320413"
"637","25287","18.076713","-66.9473894"
"638","18941","18.2910881","-66.5133062"
"641","31191","18.2629616","-66.7140201"
"646","38199","18.4331667","-66.2859407"
"647","6172","17.9636135","-66.9471271"
"650","14998","18.3494158","-66.5780786"
"652","4715","18.4519345","-66.6031127"
"653","13307","17.9854523","-66.8889327"
"656","21481","18.0535389","-66.7929308"
"659","41953","18.4072215","-66.8090083"
"660","17250","18.1346445","-67.1161579"
"662","43282","18.4674805","-67.0159741"
"664","16784","18.2134188","-66.5896127"
"667","25968","18.0034221","-67.0358097"
"669","29744","18.2708993","-66.866375"
"670","9807","18.2368315","-66.9901141"
"674","44457","18.4229082","-66.4893373"
"676","40316","18.3777509","-67.0803439"
"677","15272","18.3325604","-67.2270064"
"678","27819","18.4340989","-66.9273841"
"680","58140","18.1819375","-67.133802"
"682","32615","18.2214426","-67.1560623"
"683","33772","18.1077999","-67.0372633"
"685","42831","18.3329273","-66.9598753"
"687","32610","18.318386","-66.4180342"
"688","13543","18.3822636","-66.6264382"
"690","6255","18.49551","-67.0986713"
"692","37511","18.4101875","-66.3365557"
"693","61038","18.4230235","-66.3972298"
"694","328","18.4823698","-66.3910788"
"698","41782","18.0648484","-66.8563194"
"703","28605","18.2484007","-66.1306624"
"704","8577","17.96577","-66.2195545"
"705","25598","18.1289613","-66.2666829"
"707","12225","18.0136482","-65.9207116"
"714","19566","18.000198","-66.0429433"
"715","3656","18.0112326","-66.5600648"
"716","33779","17.9905666","-66.6075419"
"717","18457","18.0032217","-66.6140369"
"718","26606","18.2319882","-65.7596231"
"719","30990","18.2899272","-66.2534401"
"720","23129","18.2179456","-66.4280762"
"723","19277","18.0438218","-66.0155782"
"725","89374","18.2188191","-66.0423752"
"727","58382","18.2153077","-66.0735649"
"728","44908","17.9898529","-66.6641162"
"729","53750","18.3298291","-65.8851422"
"730","35742","18.0308311","-66.616838"
"731","15524","18.1080386","-66.6346533"
"735","13730","18.2526042","-65.6824939"
"736","51532","18.103624","-66.1516668"
"738","34922","18.3044582","-65.6987107"
"739","39678","18.1772655","-66.1605772"
"740","2071","18.3311595","-65.6341199"
"741","4971","18.1637455","-65.754021"
"745","55062","18.3528395","-65.817813"
"751","23129","18.0013169","-66.2521834"
"754","40828","18.1471305","-65.9762887"
"757","23263","17.9954412","-66.3913342"
"765","9098","18.1300959","-65.4393694"
"766","26488","18.1331964","-66.4769157"
"767","38019","18.0694127","-65.8964896"
"769","40248","18.1037997","-66.3575862"
"771","38394","18.1872011","-65.8711961"
"772","23105","18.438969","-65.9051744"
"773","20068","18.3437986","-65.7263783"
"775","1786","18.3274853","-65.2959771"
"777","40684","18.2241334","-65.9085417"
"778","45429","18.2630231","-65.9790777"
"780","13800","18.102834","-66.5681048"
"782","19304","18.2257085","-66.2216326"
"783","36557","18.3039098","-66.3261795"
"784","44637","18.0107211","-66.1336127"
"786","357","18.1554242","-66.2299072"
"791","53417","18.1367522","-65.8214866"
"794","30585","18.1990137","-66.3097816"
"795","48736","18.060532","-66.4994733"
"901","7080","18.4654241","-66.1047235"
"906","4","18.4644597","-66.0949949"
"907","17458","18.4526791","-66.078113"
"909","6230","18.4416104","-66.0671322"
"911","8623","18.4511276","-66.0562229"
"912","6801","18.4452894","-66.0601394"
"913","9312","18.4499696","-66.0426642"
"915","32820","18.437179","-66.045571"
"917","21053","18.4206735","-66.0501049"
"918","18056","18.4210219","-66.0657892"
"920","17893","18.414292","-66.088042"
"921","37763","18.3922725","-66.0885519"
"923","29086","18.4093069","-66.0388879"
"924","56691","18.3991958","-66.0124523"
"925","8696","18.4002956","-66.0506021"
"926","108862","18.3454003","-66.0515453"
"927","14936","18.3879529","-66.0720977"
"934","288","18.4113129","-66.124234"
"936","681","18.3954625","-66.0737725"
"949","82278","18.4306955","-66.2128334"
"950","9","18.4636925","-66.2345589"
"951","35","18.4275297","-66.2537892"
"952","10008","18.4274413","-66.1820317"
"953","73014","18.3607271","-66.2515256"
"956","79304","18.3195387","-66.1688913"
"957","45680","18.3685326","-66.1876926"
