LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE
0000008855-0001-3,NANOS RESTAURANT LLC,PENNYS BURGERS,6300 N FIGUEROA STREET,LOS ANGELES,90042-2733,6300 FIGUEROA 90042-2733,,,,722110,Full-service restaurants,14,3/25/2000
0000040200-0001-1,MEL-Z ENTERPRISE INC,JACK IN THE BOX 349,16945 SAN FERNANDO MISSION BLVD,GRANADA HILLS,91344-4250,16945 SAN FERNANDO MISSION 91344-4250,18614 UTOPIA COURT,CANYON COUNTRY,91351-3415,722110,Full-service restaurants,12,5/1/2003
0000048133-0001-5,BACARO LLC,THE 3RD STOP,8636 W 3RD STREET,LOS ANGELES,90048-3323,8636 3RD 90048-3323,,,,722110,Full-service restaurants,5,11/10/2003
0000054319-0006-0,IN-N-OUT BURGERS A CALIFORNIA CORPORATION,IN-N-OUT BURGER #35,9858 BALBOA BLVD,NORTHRIDGE,91325-1904,9858 BALBOA 91325-1904,4199 CAMPUS DRIVE FLOOR #9TH,IRVINE,92612-8604,722110,Full-service restaurants,12,12/18/1984
0000097431-0001-5,KULWANT SINGH,PHILIPOS PIZZA & PASTA,1206 PACIFIC COAST HIGHWAY,HARBOR CITY,90710-2932,1206 PACIFIC COAST 90710-2932,26151 VERMONT AVENUE APARTMENT #202A,HARBOR CITY,90710-3429,722110,Full-service restaurants,15,2/7/1994
0000097465-0001-4,GUADALUPE PEREZ,BRITE SPOT RESTAURANT,615 S PACIFIC AVENUE,SAN PEDRO,90731-2629,615 PACIFIC 90731-2629,1720 E ANAHEIM STREET,LONG BEACH,90813-3905,722110,Full-service restaurants,15,3/26/1994
0000101227-0001-7,ANA RUTH GARCIA,NUESTRO DIVINO SALVADOR,5816 YORK BLVD,LOS ANGELES,90042-2635,5816 YORK 90042-2635,1337 S DOWNEY ROAD,LOS ANGELES,90023-4020,722110,Full-service restaurants,14,9/15/2004
0000104152-0001-9,THEM L TANG,HONG KONG EXPRESS,3646 E OLYMPIC BLVD,LOS ANGELES,90023-3129,3646 OLYMPIC 90023-3129,,,,722110,Full-service restaurants,14,4/21/2000
0000105130-0001-0,SIM TAN/SOMALY TAN,PATRA BURGERS,1524 W SUNSET BLVD,LOS ANGELES,90026-3332,1524 SUNSET 90026-3332,,,,722110,Full-service restaurants,13,4/13/2000
0000106116-0001-7,MARIA RAMIREZ,LA AZTECA,4203 CHEVY CHASE DRIVE,LOS ANGELES,90039-1274,4203 CHEVY CHASE 90039-1274,,,,722110,Full-service restaurants,13,2/8/1994
0000114971-0001-3,LUIS ESTEVEZ,TACOS LA NENA,4427 AVALON BLVD,LOS ANGELES,90011-5626,4427 AVALON 90011-5626,3527 BLANCHARD STREET,LOS ANGELES,90063-3841,722110,Full-service restaurants,9,3/16/1994
0000119896-0001-1,"HOME RESTAURANT SAVP, INC.",HOME RESTAURANT,1760 HILLHURST AVENUE,LOS ANGELES,90027-4457,1760 HILLHURST 90027-4457,,,,722110,Full-service restaurants,4,1/11/2001
0000120820-0001-0,ROGELIO FONSECA,LA ABEJA RESTAURANT,3700 N FIGUEROA STREET,LOS ANGELES,90065-2447,3700 FIGUEROA 90065-2447,,,,722110,Full-service restaurants,1,5/1/1995
0000133322-0001-6,LAPD LAW ENFORCEMENT EXPLORER SCOUT POST 515E,,19020 VANOWEN STREET,RESEDA,91335-5114,19020 VANOWEN 91335,,,,722110,Full-service restaurants,3,3/11/1981
0000139149-0001-2,MEL CHOR M MORENO,LA CHISPA DE ORO,2217 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-1845,2217 CESAR E CHAVEZ 90033-1845,,,,722110,Full-service restaurants,14,8/1/1994
0000157152-0001-2,JACK IN THE BOX INC,,6800 DE SOTO AVENUE,CANOGA PARK,91303-2210,6800 DE SOTO 91303-2210,9330 BALBOA AVENUE,SAN DIEGO,92123-1516,722110,Full-service restaurants,3,9/27/1994
0000160711-0001-8,RICHARD A SCHIFFER,ABBOTS PIZZA CO,1407 ABBOT KINNEY BLVD,VENICE,90291-3740,1407 ABBOT KINNEY 90291-3740,,,,722110,Full-service restaurants,11,1/23/1995
0000178206-0001-1,MULBERRY STREET PIZZERIA INC,,17040 VENTURA BLVD,ENCINO,91316-4129,17040 VENTURA 91316-4129,15300 VENTURA BLVD #315,SHERMAN OAKS,91403-5870,722110,Full-service restaurants,5,1/1/1995
0000229766-0001-4,FANTASTIC CAFE NO. 2,FANTASTIC CAFE (SAN PEDRO),1633 W 25TH STREET,SAN PEDRO,90732-4301,1633 25TH 90732-4301,,,,722110,Full-service restaurants,15,6/14/1985
0000951177-0001-2,TAMBIEN INC,MCDONALD'S #22570,4000 S FIGUEROA STREET,LOS ANGELES,90037-2002,4000 FIGUEROA 90037-2002,2202 S FIGUEROA STREET SUITE #4003,LOS ANGELES,90007-2049,722110,Full-service restaurants,9,2/24/1999
0000657898-0001-9,PERSEPOLIS FAST FOOD INC,PERSEPOL'S PIZZA & SUBS,6900 RESEDA BLVD #G,RESEDA,91335-4272,6900 RESEDA 91335-4272,,,,722110,Full-service restaurants,3,3/1/2002
0002027558-0001-7,"H.S. CHEEMA, INC.",SUBWAY #26899,1000 E WASHINGTON BLVD UNIT #118,LOS ANGELES,90021-3070,1000 WASHINGTON 90021-3070,,,,722110,Full-service restaurants,9,3/15/2005
0002750097-0001-2,"JUST DOWNSTAIRS 707, LLC.",JUST DOWNSTAIRS,707 WILSHIRE BLVD #150,LOS ANGELES,90017-3501,707 WILSHIRE 90017-3501,,,,722110,Full-service restaurants,14,4/1/2014
0000081992-0001-2,FRENCHY DELI LLC,FASION BISTRO,110 E 9TH STREET LOBBY #AL23,LOS ANGELES,90079-1208,110 9TH 90079-1208,,,,722110,Full-service restaurants,9,6/15/2003
0000075873-0001-4,J & U CORPORATION,BOBA LOCA,701 S VERMONT AVENUE,LOS ANGELES,90005-1518,701 VERMONT 90005-1518,,,,722110,Full-service restaurants,10,7/15/2003
0000072252-0001-1,EL COYOTE MEXICAN FOODS INC,,7312 BEVERLY BLVD,LOS ANGELES,90036-2535,7312 BEVERLY 90036-2535,,,,722110,Full-service restaurants,5,12/23/1985
0002523247-0001-2,MARIE D PETIT,GOLDEN BIRD,2847 CRENSHAW BLVD,LOS ANGELES,90016-3603,2847 CRENSHAW 90016-3603,,,,722110,Full-service restaurants,10,9/30/2010
0002646836-0001-3,SHEIK MAHBUB AHMED,ROYAL CURRY CAFE,4329 LANKERSHIM BLVD,NORTH HOLLYWOOD,91602-2705,4329 LANKERSHIM 91602-2705,,,,722110,Full-service restaurants,4,12/1/2012
0000295584-0001-1,ESTELA SERRANO,NO Q NO,3224 VENICE BLVD,LOS ANGELES,90019-6240,3224 VENICE 90019-6240,,,,722110,Full-service restaurants,10,2/1/2001
0000149406-0001-5,JAVIER CERVANTES,JAVIER TACOS MEXICO #2,913 S BROADWAY,LOS ANGELES,90015-1609,913 BROADWAY 90015-1609,POST OFFICE BOX #191,BELL,90201-0191,722110,Full-service restaurants,14,3/29/2004
