Name,ZipCode
Austin Diagnostic Clinic,78758
Austin Lakes Hospital,78705
Austin Regional Clinic,78759
Austin State Hospital,78751
Austin Surgical Hospital,78746
Cornerstone Hospital of Austin,78756
HealthSouth Rehabilitation Hospital – Austin,78701
Heart Hospital of Austin,78756
The Hospital at Westlake Medical Center,78746
NeuroTexas Institute at St. David’s HealthCare,78705
Northwest Hills Surgical Hospital of Austin,78731
Scott & White – Wells Branch Clinic,78728
Central Texas Rehabilitation Hospital,78751
Seton Medical Center Austin,78705
Seton Northwest Hospital,78759
Seton Shoal Creek Hospital,78731
Seton Southwest Hospital,78737
University Medical Center Brackenridge,78701
Seton Kozmetsky Community Health Center,78704
Seton McCarthy Community Health Center,78702
Seton Topfer Community,78758
Seton Pflugerville Healthcare Center,78660
St. David’s Medical Center,78705
St. David’s North Austin Medical Center,78758
St. David’s Rehabilitation Hospital,78705
St. David’s South Austin Medical Center,78704
St. David’s Women’s Center of Texas,78758
Texas Cardiac Arrhythmia Institute at St. David’s Medical Center,78705
Texas Institute for Robotic Surgery,78758
John Hopkins Hospital,21287
Maryland General Hospital,21201
Bon Secours Hospital,21223
Sinai Hospital,21215
Harbor Hospital Center,21225
St. Agnes Hospital,21229
Union Memorial Hospital,21218
Good Samaritan Hospital,21239
John Hopkins Bayview Medical Center,21224
Mercy Medical Cen.,21202
University of Maryland Medical Center,21201
VA Medical Center,21201
Kernan Hospital,21207
MOUNT WASHINGTON PEDIATRIC HOSPITAL,21209
UNIVERSITY SPECIALTY HOSPITAL,21230
Near North - Komed Holman Health Center,60653
ACCESS at the Illinois Eye Institute,60616
ACCESS Doctors Medical Center,60638
Esperanza Health Center - Marquette,60629
Lawndale Christian Health Center - Archer,60632
PrimeCare Portage Park,60634
Erie Family Health Center - - Johnson School,60623
ACCESS Madison Family Health Center,60624
PrimeCare Ames,60647
ACCESS Evanston-Rogers Park Family Health Center,60626
Aunt Martha's Roseland Community Health Center,60628
ACCESS at Perspectives Charter School- Calumet,60620
UIC- Mile Square at Davis Elementary,60632
Near North - Uptown Community Health Center,60640
Heartland Health Centers - Lincoln Square,60625
American Indian Health Services of Chicago,60613
PCC Salud Family Health Center,60639
Friend Family Health Center - Ashland,60609
PrimeCare Fullerton,60647
CommunityHealth - West Town,60622
Near North - Cottage View Health Center,60615
"TCA Health, Inc",60826
UIC - Mile Square Health Center,60608
UIC- Mile Square Integrated Health Care North Center Clinic,60618
Cook County - John Sengstacke Health Center,60615
Erie Family Health Center - Teen Health Center,60640
Heartland Health Center- Hibbard Elementary School,60625
Alivio Medical Center - Morgan,60608
Chicago Family Health Center - Roseland,60628
PCC Community Wellness Center at Loretto Hospital,60644
ACCESS Pilsen Family Health Center,60608
ACCESS Auburn-Gresham Family Health Center,60620
Chicago Family Health Center - East Side,60617
ACCESS Brandon Family Health Center,60617
Beloved Community Family Wellness Center,60621
Friend Family Health Center - Cottage Grove ,60615
Erie Family Health Center -- L. Ward ,60624
Heartland Health Centers - Rogers Park,60645
ACCESS Warren Family Health Center,60612
Cook County - Near South Health Center,60653
Heartland Health Outreach- Refugee Health,60640
Near North - Denny Community Health Center,60610
ACCESS at St. Francis Health Center,60626
Aunt Martha's Southeast Side Community Health Center,60617
ACCESS Booker Family Health Center,60653
Heartland Health Centers - Lake View,60657
Infant Welfare Society,60647
CommunityHealth - Englewood,60621
PrimeCare Northwest,60639
Lawndale Christian Health Center - Farragut Career Academy,60623
ACCESS Servicios Medicos La Villita,60623
Esperanza Health Centers,60608
Near North - Louise Landau Health Center,60651
UIC - Mile Square - Back of the Yards,60609
Heartland Health Center- Senn High School,60660
Near North - Winfield Moody Health Center,60610
University of Chicago- Washinton Park Children's Free Health Clinic ,60615
Erie Family Health Center - West Town,60622
Chicago Family Health Center- South Chicago,60617
