Name,ZipCode
Little Walnut Creek Branch,78758
Carver Branch,78702
North Village Branch,78757
Ruiz Branch,78741
St. John Branch,78752
Pleasant Hill Branch,78745
Faulk Central Library,78701
Old Quarry Branch,78731
University Hills Branch,78723
Austin History Center,78701
New Central Library,78701
Windsor Park Branch,78723
Terrazas Branch,78702
Southeast Branch,78744
Howson Branch,78703
Willie Mae Kirk Branch,78702
Hampton Branch at Oak Hill,78749
Cepeda Branch,78702
Recycled Reads Bookstore,78756
Manchaca Road Branch,78745
Yarborough Branch,78756
Spicewood Springs Branch,78759
Twin Oaks Branch,78704
Milwood Branch,78727
Central,21201
Brooklyn,21225
Canton,21224
Cherry Hill,21225
Clifton,21213
Edmondson,21229
Forest Park,21216
Govans,21212
Hamilton,21214
Hampden,21211
Herring Run,21213
Light St,21230
Northwood,21218
Patterson Park,21224
Pennsylvania,21217
Reisterstown,21215
Roland Park,21210
Walbrook,21216
Washington Village,21230
Waverly,21218
Southeast Anchor,21224
Orleans,21231
Albany Park,60625
Altgeld,60827
Archer Heights,60632
Austin,60644
Austin-Irving,60634
Avalon,60617
Back of the Yards,60609
Beverly,60643
Bezazian,60640
Blackstone,60615
Brainerd,60620
Brighton Park,60632
Bucktown-Wicker Park,60647
Budlong Woods,60659
Canaryville,60609
Chicago Bee,60609
Chicago Lawn,60629
Chinatown,60616
Clearing,60638
Coleman,60637
"Daley, Richard J.-Bridgeport",60608
"Daley, Richard M.-W Humboldt",60612
Douglass,60623
Dunning,60634
Edgebrook,60646
Edgewater,60660
Gage Park,60632
Galewood-Mont Clare,60707
Garfield Ridge,60638
Greater Grand Crossing,60619
Hall,60615
Harold Washington-HWLC,60605
Hegewisch,60633
Humboldt Park,60647
Independence,60618
Jefferson Park,60630
Jeffery Manor,60617
Kelly,60621
King,60616
Legler,60624
Lincoln Belmont,60657
Lincoln Park,60614
Little Village,60623
Logan Square,60647
Lozano,60608
Manning,60612
Mayfair,60630
McKinley Park,60609
Merlo,60657
Mount Greenwood,60655
Near North,60610
North Austin,60639
North Pulaski,60639
Northtown,60645
Oriole Park,60656
Portage-Cragin,60641
Pullman,60628
Roden,60631
Rogers Park,60626
Roosevelt,60607
Scottsdale,60652
Sherman Park,60609
South Chicago,60617
South Shore,60649
Sulzer Regional,60625
Thurgood Marshall,60620
Toman,60623
Uptown,60613
Vodak-East Side,60617
Walker,60643
Water Works,60611
West Belmont,60634
West Chicago Avenue,60651
West Englewood,60636
West Lawn,60629
West Pullman,60643
West Town,60622
"Whitney M. Young, Jr.",60619
Woodson Regional,60628
Wrightwood-Ashburn,60652
N  HOLLYWOOD REGIONAL LIBRARY,91601
HARBOR GATEWAY-HARBOR CITY LIBRARY,90710
ASCOT BRANCH LIBRARY,90003
GOLDWYN HOLLYWOOD REGNL LIBRARY,90028
CANOGA PARK BRANCH LIBRARY,91303
EL SERENO BRANCH LIBRARY - NEW,90032
WILSHIRE BRANCH LIBRARY,90004
JOHN C. FREMONT LIBRARY,90038
ENCINO-TARZANA BRANCH LIBRARY,91356
LIBRARY INNER CITY MOBILE UNITS,90047
Los Feliz Branch Library,90027
OLD HYDE PARK BRANCH LIBRARY,90043
WILL AND ARIEL DURANT BRANCH LIBRARY -NEW,90046
SYLMAR BRANCH LIBRARY,91342
LINCOLN HEIGHTS BRANCH LIBRARY,90031
BEN FRANKLIN LIBRARY,90033
CENTRAL LIBRARY,90017
MEMORIAL BRANCH LIBRARY,90019
ANGELES MESA BRANCH LIBRARY,90043
EAGLE ROCK BRANCH LIBRARY,90041
OLD WASHINGTON IRVING LIBRARY-VACANT BLDG,90019
MARK TWAIN BRANCH LIBRARY,90003
ECHO PARK BRANCH LIBRARY,90026
SUNLAND-TUJUNGA BRANCH LIBRARY,91042
LINCOLN HEIGHTS BRANCH LIBRARY,90031
OLD CYPRESS PARK BRANCH LIBRARY,90065
JUNIPERO SERRA Branch Library,90037
CAHUENGA BRANCH LIBRARY,90029
