zip code,population,Lat,Lon,latitude.y,longitude.y,city,state,county
601,18570,18.1805555,-66.7499615,18.165273,-66.722583,Adjuntas,PR,Adjuntas
602,41520,18.3622681,-67.17613,18.393103,-67.180953,Aguada,PR,Aguada
603,54689,18.455183,-67.1198874,18.455913,-67.14578,Aguadilla,PR,Aguadilla
606,6615,18.1583451,-66.9329106,18.172947,-66.944111,Maricao,PR,Maricao
610,29016,18.2909554,-67.1258677,18.288685,-67.139696,Anasco,PR,Anasco
612,67010,18.4022392,-66.7113998,18.450674,-66.698262,Arecibo,PR,Arecibo
616,11017,18.4204125,-66.6719793,18.444792,-66.640678,Bajadero,PR,Arecibo
617,24597,18.4451465,-66.5596961,18.447092,-66.544255,Barceloneta,PR,Barceloneta
622,7853,17.9912454,-67.1539931,17.998531,-67.187318,Boqueron,PR,Cabo Rojo
623,43061,18.0834349,-67.1538767,18.062201,-67.149541,Cabo Rojo,PR,Cabo Rojo
624,26241,18.0632749,-66.7159657,18.023535,-66.726156,Penuelas,PR,Penuelas
627,35159,18.4150296,-66.8618789,18.477891,-66.85477,Camuy,PR,Camuy
631,1852,18.1906068,-66.8320413,18.269187,-66.864993,Castaner,PR,Lares
637,25287,18.076713,-66.9473894,18.087322,-66.934911,Sabana Grande,PR,Sabana Grande
638,18941,18.2910881,-66.5133062,18.33616,-66.472087,Ciales,PR,Ciales
641,31191,18.2629616,-66.7140201,18.250027,-66.698957,Utuado,PR,Utuado
646,38199,18.4331667,-66.2859407,18.43606,-66.281954,Dorado,PR,Dorado
647,6172,17.9636135,-66.9471271,17.969594,-66.939754,Ensenada,PR,Guanica
650,14998,18.3494158,-66.5780786,18.360125,-66.562311,Florida,PR,Florida
652,4715,18.4519345,-66.6031127,18.457254,-66.603358,Garrochales,PR,Arecibo
653,13307,17.9854523,-66.8889327,17.972468,-66.898661,Guanica,PR,Guanica
656,21481,18.0535389,-66.7929308,18.02328,-66.786909,Guayanilla,PR,Guayanilla
659,41953,18.4072215,-66.8090083,18.481391,-66.808696,Hatillo,PR,Hatillo
660,17250,18.1346445,-67.1161579,18.145486,-67.135323,Hormigueros,PR,Hormigueros
662,43282,18.4674805,-67.0159741,18.480285,-67.028155,Isabela,PR,Isabela
664,16784,18.2134188,-66.5896127,18.217606,-66.598306,Jayuya,PR,Jayuya
667,25968,18.0034221,-67.0358097,18.015099,-67.055973,Lajas,PR,Lajas
669,29744,18.2708993,-66.866375,18.295952,-66.881925,Lares,PR,Lares
670,9807,18.2368315,-66.9901141,18.252135,-66.990967,Las Marias,PR,Las Marias
674,44457,18.4229082,-66.4893373,18.44553,-66.490268,Manati,PR,Manati
676,40316,18.3777509,-67.0803439,18.383727,-67.080799,Moca,PR,Moca
677,15272,18.3325604,-67.2270064,18.335781,-67.252547,Rincon,PR,Rincon
678,27819,18.4340989,-66.9273841,18.45303,-66.933689,Quebradillas,PR,Quebradillas
680,58140,18.1819375,-67.133802,18.219023,-67.508068,Mayaguez,PR,Mayaguez
682,32615,18.2214426,-67.1560623,18.219023,-67.508068,Mayaguez,PR,Mayaguez
683,33772,18.1077999,-67.0372633,18.113284,-67.039706,San German,PR,San German
685,42831,18.3329273,-66.9598753,18.3236,-66.972227,San Sebastian,PR,San Sebastian
687,32610,18.318386,-66.4180342,18.316976,-66.415207,Morovis,PR,Morovis
688,13543,18.3822636,-66.6264382,18.429675,-66.674506,Sabana Hoyos,PR,Arecibo
690,6255,18.49551,-67.0986713,18.476196,-67.139597,San Antonio,PR,Aguadilla
