ZipCode,Area
601,167459085
602,83734431
603,82063867
606,109592548
610,97193468
612,184915406
616,30019620
617,43335127
622,76771945
623,100001387
624,114316394
627,123565360
631,11084632
637,89251345
638,171548452
641,245703692
646,56933071
647,47393118
650,79609991
652,17922573
653,44681214
656,88324411
659,111250595
660,29381300
662,120249031
664,117900778
667,184465372
669,159587547
670,118383179
674,123303654
676,130693118
677,40732062
678,72070782
680,186077627
682,43678263
683,135197669
685,202866463
687,100815790
688,82478669
690,7303739
692,71307202
693,105492827
694,4000664
698,188071102
703,76883454
704,14401602
705,82820598
707,58378173
714,37901916
715,20584363
716,30049311
717,5526660
718,120629614
719,73426199
720,154654537
723,120873733
725,110381424
727,55854034
728,62143525
729,88323600
730,16973860
731,126414374
735,62204914
736,142781219
738,154956494
739,82906554
740,1144309
741,8913858
745,139831239
751,151042738
754,132406042
757,82856806
765,51058972
766,107440784
767,150306377
769,198207392
771,87623561
772,51615236
773,65536492
775,60782629
777,69172142
778,77893209
780,52870908
782,69328497
783,108398610
784,160166753
786,666250
791,98579613
794,91497608
795,120770024
901,2564639
906,8247
907,3480368
909,1624902
911,1245504
912,854044
913,843188
915,4422364
917,3407008
918,5621803
920,7467316
921,6931388
923,5291289
924,12145105
925,1158082
926,63627467
927,6809996
934,1967214
936,417955
949,47734641
950,8194331
951,1105181
952,3207681
953,70510220
956,68779793
957,11967204
959,16691457
960,2412149
961,13572868
962,11028515
965,2032077
966,8405703
968,1180763
969,12662125
971,41418592
976,44094982
979,4565904
982,3673342
983,9610522
985,21842799
987,64725573
1001,31865240
1002,146836622
1003,1855172
1005,115253945
1007,143289852
1008,144417560
1009,2065025
1010,91403071
1011,82227136
1012,34522824
1013,16298932
1020,33486648
1022,12324269
1026,62502751
1027,106086209
1028,33867968
1029,46362370
1030,31206355
1031,20959213
1032,31368863
1033,72735542
1034,190285414
1035,63731565
1036,50627679
1037,34627343
1038,28139574
1039,34802255
1040,59142386
1050,101852053
1053,13541792
1054,59496676
1056,73297009
1057,117915494
1060,31538669
1062,47415849
1063,100502
1066,1960313
1068,54957485
1069,73455520
1070,53794793
1071,41152711
1072,53364203
1073,74991419
1074,273131
1075,47662551
1077,81979424
1079,3030136
1080,4731673
1081,38112802
1082,135594568
1083,41028017
1084,24043877
1085,158223043
1086,96152
1088,13505888
1089,45380622
1092,17440457
1093,13080546
1094,3112197
1095,59151294
1096,82592019
1097,4635022
1098,81585142
1103,1397056
1104,13722410
1105,3526004
1106,25422171
1107,3992898
1108,10049655
1109,14582814
1118,9573080
1119,9436036
1128,2894144
1129,9105878
1151,6598855
1199,28277
1201,143810955
1220,63893479
1222,8898719
1223,185948005
1224,802753
1225,66846521
1226,68686266
1229,1899054
1230,241562935
1235,121008472
1236,12595870
1237,161262311
1238,92924069
1240,56533395
1242,1313357
1243,48363963
