City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
aus,West,0,2,0,358,22015,80693433,1760,2170,2720,3680,4460,2.72823
aus,East,5,1,0,158,21696,68301569,1440,1760,2220,3000,3640,3.1765
aus,Southeast,12,2,1,699,57628,117026493,1420,1750,2200,2980,3610,4.92436
aus,Southwest,49,2,4,3795,188647,260058529,1445.714286,1774.285714,2234.285714,3022.857143,3662.857143,7.25402
aus,Northwest,11,1,1,1167,66625,85105018,1473.333333,1800,2266.666667,3073.333333,3720,7.82856
aus,Northeast,9,1,0,1313,64337,62736591,1240,1510,1900,2580,3120,10.2551
aus,West Central,16,2,1,533,24614,22804475,1420,1740,2180,2960,3580,10.7935
aus,North Central,15,2,2,2083,60201,48777101,1370,1680,2110,2850,3460,12.34206
aus,Central,29,12,3,3428,125642,97904187,1136.666667,1393.333333,1756.666667,2376.666667,2880,12.83316
aus,North,11,6,1,1849,64371,45094438,1290,1590,2000,2710,3280,14.27471
aus,Downtown,53,3,8,3238,47865,33099791,1533.333333,1886.666667,2373.333333,3213.333333,3893.333333,14.46082
aus,East Central,14,1,2,920,34231,21894229,1280,1570,1980,2680,3250,15.63471
aus,South Central,26,2,1,1540,42117,22831865,1340,1640,2060,2780,3380,18.44659
chi,Edison Park,10,0,1,978,28641,9635928,1620,1840,2180,2780,3240,29.72314
chi,Schorsch Forest View,3,1,1,535,27613,8465988,1620,1840,2180,2780,3240,32.61639
chi,Middle Edgebrook,24,2,3,2786,81270,24209599,1500,1700,2020,2570,3010,33.56933
chi,Portage Park,4,1,3,2645,74298,18446105,1500,1700,2020,2580,3000,40.27842
chi,Loop,25,3,3,14072,88015,20475004,2142.857143,2442.857143,2891.428571,3680,4300,42.98656
chi,Near West Side,37,14,4,7683,124003,27383756,1713.333333,1946.666667,2306.666667,2940,3426.666667,45.28342
chi,Central Station,6,0,1,2021,24668,5256796,2280,2600,3080,3920,4580,46.92592
chi,Near North Side,1,0,0,4096,33355,6067125,2020,2300,2730,3480,4060,54.97662
chi,Old Irving Park,7,0,1,2468,71663,10468217,1420,1620,1920,2440,2860,68.45769
chi,North Center,17,1,1,3898,92084,13107751,1580,1800,2140,2720,3180,70.25156
chi,Alta Vista Terrace,9,2,1,2791,48281,6748617,1780,2020,2400,3060,3560,71.54207
chi,Belmont Gardens,11,2,2,3367,90407,12631958,1480,1680,2000,2540,2980,71.57006
chi,Peterson Park,6,1,1,2683,38104,5253542,1540,1760,2080,2660,3100,72.53011
chi,Bucktown,20,1,1,4877,66617,8944390,2020,2300,2720,3460,4040,74.47909
chi,West Ridge,8,1,1,904,45274,5847014,1540,1760,2080,2660,3100,77.43098
chi,Lincoln Square,13,4,2,3257,78651,10122969,1520,1720,2040,2600,3040,77.69559
chi,Cathedral District,9,0,1,4287,28718,3637982,2280,2600,3080,3920,4580,78.93937
chi,Noble Square,13,6,1,4334,52548,6389531,1800,2040,2420,3080,3600,82.24078
chi,West Town,19,6,3,4470,87291,10511986,1580,1780,2120,2700,3160,83.03949
chi,Belmont Harbor,10,2,2,4361,65996,7914162,1880,2120,2520,3220,3740,83.38975
chi,Gold Coast,6,2,1,2921,37726,4176317,2020,2300,2720,3460,4040,90.33318
chi,Uptown,13,5,1,3308,65790,6887350,1360,1560,1840,2340,2740,95.52295
chi,Edgewater,8,1,1,1862,42752,3899123,1360,1540,1820,2320,2700,109.64517
