Name,Zip
Mt Vernon Square Park,21202
Schroeder & Lombard  Park,21223
Memorial Stadium Park,21218
Orangeville Park,21205
Pearlstone  Park,21201
Ambrose Kennedy Park,21202
Stoney Run Park,21210
Fayette &  I 83 Park,21202
War Memorial Plaza,21202
Gateway Park,21230
O'Donnell Square Park,21224
Hoes Heights Park,21212
Solo Gibbs Park,21230
Madison Square Park,21205
Violetville Park,21229
Harlem Inner Block Parks,21223
Forrest Street Park,21202
Congressional Medal Of Honor Traffic Island,21201
Andover & North Hill Park,21218
Harlem Inner Block Parks,21217
Harlem Inner Block Parks,21201
Sarah Ann Park,21223
Carlton St Park,21223
Eutaw Place Median Park,21217
McKim Park,21223
Roosevelt Park,21218
Harlem Inner Block Parks,21228
Harlem Inner Block Parks,21217
Robert C. Marshall Park,21217
Rosemont Rec Center,21216
Harlem Inner Block Parks,21217
Harlem Inner Block Parks,21217
Vincent St Park,21223
Dypski Park,21213
Henry Street Park,21230
Harlem Inner Block Parks,21217
Oliver Park,21217
Franklin Square Park,21223
Harlem Inner Block Parks,21223
Harlem Inner Block Parks,21217
Asbury Park,21209
Pauline Faunteroy,21217
Caroline & Hoffman Park,21213
Janney St Park,21224
B & O Slope Park,21201
North & Woodbrook Park,21213
Coldstream Park,21218
Rutter's Mill Park,21217
Harlem Square Park,21228
Pentwood Park,21239
Carroll Park,21230
Harlem Inner Block Parks,21217
Rozena Ridgley Park,21217
Easterwood Park,21216
Latrobe Park,21230
Adams Park,21218
Park Avenue Median Park,21217
City Springs Park,21223
Desoto Park,21230
Wilbur H. Waters Park,21216
William McAbee Park,21217
Calvert & Federal Park,21202
Baltimore Neighborhood Special Rec Facility,21217
F. Scott Fitzgerald Park,21217
Woodbourne Avenue Park,21239
Cumberland & Carey Park,21217
Heath St Park,21201
Betty Hyatt Park,21223
Douglas R. Morrison Park,21217
Harlem Inner Block Parks,21223
Harlem Inner Block Parks,21217
Lafayette & Aiken Park,21213
Harlem Inner Block Parks,21217
Harlem Inner Block Parks,21217
Harlem Inner Block Parks,21223
Thames Street Park,21231
Maisel St Park,21230
Upton Boxing Center,21217
Warwick Avenue Park,21223
Battle Monument Park,21202
Patterson Park,21224
Pennsylvania Triangle Park,21217
Saint Katherine's Park,21217
Lafayette & Payson Park,21217
Camp Small Park,21209
Swann Park,21230
Reedbird Park,21225
Hooper & Rockrose Park,21211
Castle St Park,21231
Gwynns Falls Trail South,21230
Northwest Park,21209
Collington Sq Park,21213
Woodberry Park,21211
Barclay Park,21218
King & Kennedy Park,21218
Saint Joseph's Park,21228
Hollins Ferry and B&O Park,21230
Atlantic Ave Park,21230
Greenmount Rec Center,21218
Catherine Street Park,21223
Mund Park,21218
Madison & Whitelock Park,21217
Greenspring Ave. Park,21215
Anchorage Promenade Park,21224
Arnold Sumpter  Park,21217
William McGill Park,21216
Morrell Park,21230
Belvedere & Sunset St Park,21215
Shipley Hill 1,21223
Florence Cummings Park,21230
Shipley Hill 2,21223
Luzerne Ave Park,21213
Boston Street Pier Park,21224
Edgecombe Park,21215
Keyworth Ave Park,21215
Paca St Park,21230
Miles Ave Park,21211
Ferry Bar Park,21230
Druid Hill Park,21217
Saint Casmir's Park,21224
Hanlon Park,21216
Lakeland Park,21230
Gwynns Falls Trail,21223
Contee-Parago Traffic Island,21217
Belnor Squares Park,21224
Clifton Park,21218
Irvin Luckman Park,21215
Indiana Ave Park,21230
Elgin Park,21216
Forest Park Golf Course,21207
Mount Olivet & Phelps Lane,21224
Windsor Hills Park,21216
Montebello Park,21218
Waverly Mini Park,21218
Wyman Park Dell,21218
Columbus Park,21202
Federal Hill Park,21230
Bocek Park,21205
Canton Waterfront Park,21224
Poplar Terrace Park,21216
Queensbury Park,21215
32nd Street Park,21218
Daisy Field,21229
