zip code,population,latitude.x,longitude.x,latitude.y,longitude.y,city,state,county
21201,16972,39.2947939,-76.6222285,39.296536,-76.623489,Baltimore,MD,Baltimore City
21202,22832,39.2965258,-76.6070163,39.295907,-76.608438,Baltimore,MD,Baltimore City
21205,16146,39.3022946,-76.5644653,39.302757,-76.567987,Baltimore,MD,Baltimore City
21206,50846,39.3384283,-76.5388766,39.336857,-76.553237,Baltimore,MD,Baltimore City
21209,26465,39.3731913,-76.6700026,39.354256,-76.667892,Baltimore,MD,Baltimore City
21210,14292,39.3591561,-76.6326854,39.352356,-76.63329,Baltimore,MD,Baltimore City
21211,17351,39.329817,-76.6394081,39.327889,-76.63899,Baltimore,MD,Baltimore City
21212,32322,39.3685612,-76.6148978,39.356206,-76.610989,Baltimore,MD,Baltimore City
21213,32733,39.3149418,-76.5778414,39.306606,-76.603338,Baltimore,MD,Baltimore City
21214,20564,39.3517974,-76.5644021,39.350006,-76.562187,Baltimore,MD,Baltimore City
21215,60161,39.3452409,-76.6835656,39.343306,-76.681192,Baltimore,MD,Baltimore City
21216,32071,39.3105945,-76.6717168,39.310756,-76.674792,Baltimore,MD,Baltimore City
21217,37111,39.3084728,-76.6391545,39.308606,-76.63749,Baltimore,MD,Baltimore City
21218,49796,39.3301071,-76.6014512,39.328456,-76.599139,Baltimore,MD,Baltimore City
21223,26366,39.2827784,-76.6539919,39.279506,-76.65014,Baltimore,MD,Baltimore City
21224,49134,39.2748602,-76.5428334,39.279207,-76.557237,Baltimore,MD,Baltimore City
21229,45213,39.2842718,-76.6914051,39.286613,-76.65284,Baltimore,MD,Baltimore City
21230,33568,39.2661281,-76.6238071,39.264548,-76.622439,Baltimore,MD,Baltimore City
21231,15748,39.2872004,-76.5919534,39.288757,-76.592238,Baltimore,MD,Baltimore City
21239,28793,39.367099,-76.5891708,39.356356,-76.587588,Baltimore,MD,Baltimore City
21240,0,39.1738656,-76.671519,39.142793,-76.651589,Baltimore,MD,Anne Arundel
21250,3205,39.2556105,-76.7111793,39.258226,-76.713149,Baltimore,MD,Baltimore
21251,934,39.3447126,-76.581242,39.438964,-76.592139,Baltimore,MD,Baltimore
21252,2872,39.3937857,-76.6078025,39.388799,-76.613325,Baltimore,MD,Baltimore
