Name,ZIP
CENTRAL RECEIVING HOSPITAL,90017
CENTRAL RECEIVING HOSPITAL,90017
TENANT: HOOVER INTERGRATIONAL CHILD CARE CENTER,90007
Hoover Intergenerational Child Care Project,90007
VALLEY VICTORY CHILD CARE CENTER,91606
LAS PALMAS CHILD DAY CARE CENTER,90028
R&P CHILD CARE CENTER,90062
CDD Youth Opport. Unlimited - Child Care Center,90044
NORTH MISSION HEALTH CARE,90031
"TENANT: ECHO PK/S.LAKE CHILD CARE CENTER, INC",90039
GROUND LEASE FOR MTA CHILD CARE,91342
GLASSELL CHILD CARE,90065
DOWNEY RECREATION CENTER CHILD CARE,90031
BETTY BOOP CHILD CARE CENTER,90044
EAGLE ROCK CHILD CARE,90041
TENANT: COMMUNITY CARE & DEVELOPMENT SERVICES,90019
ZIEGLER HOUSE-HIST MONMNT - FOR CHILD CARE CENTER,90042
TENANT:  PICO UNION NEIGHBORHOOD CHILD CARE CENTER,90006
CAREY RANCH PARK,91342
EVERGREEN CHILD CARE CENTER,90033
RESIDNTL CARE FOR WOMEN-mini 12-step house,90007
