Location Name,ZIP
Bellaire Avenue Park,91605
Sunnynook River Park,90027
Holmby Park,90024
South Victoria Ave Park,90043
Barry A. Sanders Sports Field,91316
Hermon / Arroyo Seco Dog Park,90042
Imperial Courts Park,90059
Wabash Recreation Center - Public Computer Center,90033
Griffith Park - Vermont Canyon Tennis Courts,90027
James Slauson Recreation Center,90011
105th Street Pocket Park,90044
Chase Park,91304
Echo Park Lake,90026
Eagle Rock Hillside Park,90041
Griffith Park - Shane's Inspiration Park,90027
Mae Boyar Park,91307
Saint Andrews Recreation Center,90047
Seily Rodriguez Park,90038
Sepulveda Sports Complex,91316
Palisades Recreation Center,90272
Van Nuys  Sherman Oaks Recreation Center,91423
Glassell Park,90065
Gladys Jean Wesson Park,90016
Elysian Park -  Avenue of the Palms,90012
Villa Cabrini Park,91504
Watts Community Park,90059
Penmar Youth Center,90291
Ken Malloy Harbor Regional Park,90710
David M. Gonzales / Pacoima Recreation Center - Public Computer Center,91331
Barrington Recreation Center,90049
Cheviot Hills Recreation Center,90064
Julian C. Dixon Ave. Park / 48th Street Park,90037
Wilmington Veterans Park,90744
Aliso Canyon Park,91326
Algin Sutton Tennis Courts,90044
Rancho Cienega Sports Complex,90016
Glassell Park,90065
Studio City Park (Beeman Park),91604
Kagel Canyon Park,91342
Echo Park,90026
Fred Roberts Park,90011
Andres Pico Adobe Park,91345
San Pasqual Park,90042
Holleigh Bernson Memorial Park,91326
Lilac Terrace Park,90012
Crestwood Hills Recreation Center,90049
Wabash Park,90033
Yucca Park Community Center,90028
White Point Nature Preserve & Education Center,90731
Browns Creek Park,91311
Eagle Rock Youth Center - Public Computer Center,90041
Griffith Park - Pony & Train Rides,90027
James Slauson Recreation Center - Public Computer Center,90011
Solano Canyon Community Garden,90012
Denker Recreation Center,90018
6th & Gladys Street Park,90021
Westside Neighborhood Park,90016
Lake View Terrace Park,91342
Sepulveda Basin Wildlife Reserve,91406
Mason Youth Center - Public Computer Center,91311
Van Nuys Sherman Oaks Pool,91423
Poinsettia Recreation Center - Public Computer Center,90046
Ralph C. Daniels Field Sports Center,90731
Tarzana Recreation Center,91356
Viking Park,91326
Valley Plaza Park,91606
Tarzana Youth Center - Public Computer Center,91356
Griffith Observatory,90027
Triangle Park (Marr Park),90291
Sullivan Canyon Park,90049
Branford Tennis Courts,91311
Westchester Recreation Center,90045
Roscoe-Valley Circle Park,91304
Barry A. Sanders Sports Field,91316
Lake Street Skate Park,90026
Sunland Recreation Center,91040
Seily Rodriguez Park,90038
Victory - Vineland Park,91606
Castle Peak Park,91304
Pan Pacific Park,90036
Runyon Canyon Dog Park,90046
Banning Residence Museum,90744
76th Street Pocket Park,90044
El Sereno Arroyo Playground,90032
Montecito Heights Recreation Center,90031
Evergreen Recreation Center,90033
Evergreen Park,90033
Stoner Skate Park,90025
Jackie Tatum / Harvard Recreation Center - Public Computer Center,90047
Martin Luther King Jr. Recreation Center - Public Computer Center,90062
Pecan Pool,90033
Rivas Canyon Park,90272
Verdugo Mountain Park,91352
Orthopaedic Hospital Universal Access Playground,90007
Wilmington Recreation Center - Public Computer Center,90744
Cabrillo Beach Bathhouse,90731
Campo de Cahuenga,91604
Granada Hills Pool,91344
Westwood Park,90025
Griffith Park - Pollywog Area,91506
Victory Valley Youth Center,91606
Mcgroarty Cultural Art Center,91042
Van Nuys Sherman Oaks Park,91423
Everett Triangle Park,90026
Griffith Park - Easter Field,90027
Poinsettia Recreation Center,90046
Ralph C. Daniels Field Tennis Courts,90731
Pan Pacific Park - Renee's Place,90036
Ritchie Valens Recreation Center - Public Computer Center,91331
Rancho Park 3-Par Golf Course,90064
Whitsett Fields Park,91606
Lanark Skate Plaza,91304
Evergreen Youth Center - Public Computer Center,90033
De Neve Square Park,90077
Poinsettia Tennis Courts,90046
Mandeville Canyon Park,90049
Sepulveda Pool,91402
East Los Angeles Park,90031
Ritchie Valens Pool,91331
Branford Recreation Center,91331
Valley Glen Community Park,91436
Hubert H. Humphrey Recreation Center,91331
Imperial Courts Recreation Center,90059
Libbit Park,91436
Bellevue Park,90026
North Hollywood Park,91601
Drum Barracks Civil War Museum,90744
Canoga Park Senior Center - Public Computer Center,91303
Glenhurst Park,90039
El Sereno Recreation Center,90032
Greek Theatre,90027
Robert F. Kennedy Inspiration Park,90010
Griffith Park - Riverside Tennis Courts,90027
East Wilmington Vest Pocket Park,90744
Yosemite Recreation Center,90041
Reynier Park,90035
Westchester Skate Park,90045
Vanalden Park,91324
North Hollywood Park / Dave Potell Memorial Sports Facility,91601
Green Meadows Recreation Center - Public Computer Center,90003
Lincoln Park,90031
Wilmington Town Square Park,90744
Barrington Park,90049
Seoul International Park,90006
Laurel Canyon Park,90046
Sun Valley Park Pool,91352
El Sereno Community Garden,90032
Westwood Pool,90025
Hartland Mini Park,91405
Peck Park Pool,90732
North East Valley Multipurpose Center,91331
Jordan Downs Recreation Center,90002
Corbin Canyon Park,91356
Sepulveda Garden Center,91406
Rose Hill Recreation Center,90032
Trinity Recreation Center - Public Computer Center,90011
Tregnan Golf Academy,90027
South Park Recreation Center,90011
Lincoln Park Skate Park,90031
Limekiln Canyon Park,91326
Ramon D. Garcia Park,90023
Delano Park,91411
Fairfax Senior Citizen Center,90046
Vineyard Recreation Center - Public Computer Center,90016
Westwood Recreation Complex,90025
Tiara Street Park,91601
Van Nuys Park,91405
Aliso Canyon Park,91326
Yucca Park,90028
Crestwood Hills Park,90049
East Wilmington Greenbelt Community Center,90744
Felicia Mahood Senior Multipurpose Center - Public Computer Center,90025
Van Nuys Multipurpose Senior Citizen Center (Bernardi Center),91401
Queen Anne Recreation Center,90019
Metro/Pacific Municipal Sports,90039
Serrania Avenue Park,91364
Shatto Recreation Center,90020
Culver Slauson Park,90230
Griffith Park - Bronson Canyon,90068
Hazard Park,90033
Sylmar Park,91342
Ramona Gardens Recreation Center - Public Computer Center,90033
Griffith Park Boys Camp,90027
Wilmington Skate Park (Ambassador Skate Park),90744
Lanark Recreation Center - Public Computer Center,91304
Greayer's Oak Mini Park,90065
