"","NAICS","ZIP"
"1",722110,90042
"2",722110,91344
"3",722110,90048
"4",722110,91325
"5",722110,90710
"6",722110,90731
"7",722110,90042
"8",722110,90023
"9",722110,90026
"10",722110,90039
"11",722110,90011
"12",722110,90027
"13",722110,90065
"14",722110,91335
"15",722110,90033
"16",722110,91303
"17",722110,90291
"18",722110,91316
"19",722110,90732
"20",722110,90037
"21",722110,91335
"22",722110,90021
"23",722110,90017
"24",722110,90079
"25",722110,90005
"26",722110,90036
"27",722110,90016
"28",722110,91602
"29",722110,90019
"30",722110,90015
"31",722110,91325
"32",722110,91304
"33",722110,90292
"34",722110,91607
"35",722110,90042
"36",722110,90065
"37",722110,90045
"38",722110,91602
"39",722110,91364
"40",722110,90013
"41",722110,90292
"42",722110,90065
"43",722110,90008
"44",722110,90804
"45",722110,91324
"46",722110,90064
"47",722110,90016
"48",722110,90039
"49",722110,91606
"50",722110,90065
"51",722110,91331
"52",722110,90045
"53",722110,91606
"54",722110,91606
"55",722110,90045
"56",722110,90004
"57",722110,90245
"58",722110,90025
"59",722110,90012
"60",722110,90015
"61",722110,90045
"62",722110,90062
"63",722110,90033
"64",722110,90012
"65",722110,90071
"66",722110,90015
"67",722110,90041
"68",722110,90003
"69",722110,90011
"70",722110,91405
"71",722110,90038
"72",722110,91331
"73",722110,90017
"74",722110,91335
"75",722110,90001
"76",722110,90012
"77",722110,90037
"78",722110,90042
"79",722110,91304
"80",722110,91423
"81",722110,91342
"82",722110,90036
"83",722110,91306
"84",722110,91307
"85",722110,90033
"86",722110,91403
"87",722110,90037
"88",722110,90037
"89",722110,90045
"90",722110,90291
"91",722110,90744
"92",722110,90044
"93",722110,91331
"94",722110,91304
"95",722110,90046
"96",722110,91324
"97",722110,90012
"98",722110,90012
"99",722110,91335
"100",722110,90004
"101",722110,91604
"102",722110,90048
"103",722110,90039
"104",722110,90004
"105",722110,90061
"106",722110,90006
"107",722110,90015
"108",722110,90016
"109",722110,91505
"110",722110,90036
"111",722110,91401
"112",722110,91423
"113",722110,90004
"114",722110,90025
"115",722110,90015
"116",722110,90029
"117",722110,90230
"118",722110,90029
"119",722110,90010
"120",722110,90015
"121",722110,90058
"122",722110,90006
"123",722110,90004
"124",722110,90028
"125",722110,90292
"126",722110,90004
"127",722110,90036
"128",722110,90272
"129",722110,90027
"130",722110,90023
"131",722110,91356
"132",722110,91342
"133",722110,90028
"134",722110,91423
"135",722110,90025
"136",722110,90026
"137",722110,90001
"138",722110,90020
"139",722110,91331
"140",722110,90011
"141",722110,90015
"142",722110,90272
"143",722110,90008
"144",722110,90013
"145",722110,90028
"146",722110,91352
"147",722110,90010
"148",722110,91303
"149",722110,90232
"150",722110,91606
"151",722110,90035
"152",722110,90020
"153",722110,90731
"154",722110,90012
"155",722110,90293
"156",722110,90025
"157",722110,91604
"158",722110,91601
"159",722110,90032
"160",722110,90036
"161",722110,91401
"162",722110,90045
"163",722110,90024
"164",722110,91436
"165",722110,90034
"166",722110,91403
"167",722110,91316
"168",722110,90036
"169",722110,90015
"170",722110,91307
"171",722110,91311
"172",722110,90020
"173",722110,91405
"174",722110,90035
"175",722110,91331
"176",722110,90232
"177",722110,90041
"178",722110,90064
"179",722110,91311
"180",722110,90064
"181",722110,90047
"182",722110,90007
"183",722110,91352
"184",722110,91364
"185",722110,90732
"186",722110,90038
"187",722110,90024
"188",722110,91302
"189",722110,91311
"190",722110,90041
"191",722110,91402
"192",722110,91367
"193",722110,90501
"194",722110,90710
"195",722110,90010
"196",722110,90071
"197",722110,90731
"198",722110,90027
"199",722110,90057
"200",722110,90057
"201",722110,90744
"202",722110,90071
"203",722110,91331
"204",722110,91344
"205",722110,90017
"206",722110,91306
"207",722110,91402
"208",722110,90029
"209",722110,90042
"210",722110,90017
"211",722110,90272
"212",722110,90049
"213",722110,91405
"214",722110,90012
"215",722110,90017
"216",722110,91331
"217",722110,91605
"218",722110,91403
"219",722110,91356
"220",722110,90019
"221",722110,91316
"222",722110,91344
"223",722110,91324
"224",722110,91604
"225",722110,90012
"226",722110,90025
"227",722110,91367
"228",722110,90028
"229",722110,90023
"230",722110,91601
"231",722110,90045
"232",722110,90004
"233",722110,90037
"234",722110,90710
"235",722110,91601
"236",722110,90015
"237",722110,90031
"238",722110,91343
"239",722110,90731
"240",722110,90027
"241",722110,91304
"242",722110,90012
"243",722110,90008
"244",722110,90057
"245",722110,90068
"246",722110,90025
"247",722110,90012
"248",722110,90042
"249",722110,91367
"250",722110,91602
"251",722110,90011
"252",722110,90292
"253",722110,90020
"254",722110,91303
"255",722110,91364
"256",722110,90017
"257",722110,90064
"258",722110,91436
"259",722110,90026
"260",722110,90020
"261",722110,90045
"262",722110,90012
"263",722110,90066
"264",722110,90001
"265",722110,90027
"266",722110,90004
"267",722110,91307
"268",722110,91607
"269",722110,90001
"270",722110,90032
"271",722110,90006
"272",722110,90065
"273",722110,90028
"274",722110,91303
"275",722110,91356
"276",722110,91401
"277",722110,90292
"278",722110,91606
"279",722110,91405
"280",722110,91331
"281",722110,91325
"282",722110,90064
"283",722110,90026
"284",722110,91601
"285",722110,91604
"286",722110,90038
"287",722110,90015
"288",722110,90026
"289",722110,90057
"290",722110,90044
"291",722110,90007
"292",722110,90038
"293",722110,90021
"294",722110,90016
"295",722110,90062
"296",722110,90023
"297",722110,90036
"298",722110,90064
"299",722110,90007
"300",722110,91606
"301",722110,90007
"302",722110,90028
"303",722110,91401
"304",722110,91040
"305",722110,90011
"306",722110,90027
"307",722110,90045
"308",722110,91335
"309",722110,90025
"310",722110,90033
"311",722110,91343
"312",722110,90069
"313",722110,91335
"314",722110,90011
"315",722110,90035
"316",722110,90047
"317",722110,91304
"318",722110,90071
"319",722110,90013
"320",722110,90011
"321",722110,91011
"322",722110,90071
"323",722110,90064
"324",722110,90013
"325",722110,90248
"326",722110,90049
"327",722110,91364
"328",722110,91602
"329",722110,91423
"330",722110,90036
"331",722110,91423
"332",722110,90024
"333",722110,90039
"334",722110,91331
"335",722110,90007
"336",722110,92886
"337",722110,90034
"338",722110,90019
"339",722110,91402
"340",722110,90057
"341",722110,90008
"342",722110,90007
"343",722110,90028
"344",722110,91367
"345",722110,90025
"346",722110,90036
"347",722110,90033
"348",722110,91601
"349",722110,90057
"350",722110,91325
"351",722110,90291
"352",722110,90046
"353",722110,90007
"354",722110,91342
"355",722110,91608
"356",722110,91604
"357",722110,90026
"358",722110,90291
"359",722110,90020
"360",722110,90005
"361",722110,90049
"362",722110,91604
"363",722110,90005
"364",722110,90046
"365",722110,91423
"366",722110,90012
"367",722110,90028
"368",722110,91401
"369",722110,90006
"370",722110,91303
"371",722110,90035
"372",722110,91304
"373",722110,90012
"374",722110,91604
"375",722110,90071
"376",722110,91602
"377",722110,90035
"378",722110,90049
"379",722110,90272
"380",722110,90035
"381",722110,90049
"382",722110,90017
"383",722110,91325
"384",722110,91605
"385",722110,90042
"386",722110,91306
"387",722110,90048
"388",722110,90047
"389",722110,91406
"390",722110,91607
"391",722110,90020
"392",722110,90057
"393",722110,91604
"394",722110,91335
"395",722110,91405
"396",722110,90019
"397",722110,90064
"398",722110,91367
"399",722110,90016
"400",722110,90012
"401",722110,90007
"402",722110,91402
"403",722110,91303
"404",722110,90046
"405",722110,90017
"406",722110,90028
"407",722110,90003
"408",722110,90005
"409",722110,91604
"410",722110,90041
"411",722110,90025
"412",722110,90016
"413",722110,90024
"414",722110,91403
"415",722110,90046
"416",722110,90049
"417",722110,90064
"418",722110,90006
