Zip Code,Inspection Date,Score
78759,1/4/2016,94
78753,1/4/2016,77
78744,1/4/2016,93
78741,1/4/2016,96
78745,1/4/2016,75
78741,1/4/2016,96
78749,1/4/2016,100
78723,1/4/2016,96
78703,1/4/2016,67
78759,1/4/2016,100
78749,1/4/2016,93
78703,1/4/2016,100
78729,1/4/2016,96
78701,1/4/2016,75
78702,1/4/2016,90
78701,1/4/2016,88
78753,1/4/2016,84
78701,1/4/2016,93
78759,1/4/2016,100
78722,1/4/2016,91
78723,1/4/2016,82
78722,1/4/2016,94
78753,1/4/2016,83
78701,1/5/2016,97
78753,1/5/2016,83
78757,1/5/2016,75
78754,1/5/2016,91
78723,1/5/2016,93
78757,1/5/2016,96
78758,1/5/2016,80
78617,1/5/2016,74
78749,1/5/2016,98
78704,1/5/2016,97
78751,1/5/2016,97
78753,1/5/2016,77
78741,1/5/2016,90
78757,1/5/2016,80
78757,1/5/2016,87
78751,1/5/2016,90
78757,1/5/2016,96
78660,1/5/2016,76
78757,1/5/2016,100
78757,1/5/2016,100
78756,1/5/2016,100
78723,1/5/2016,97
78758,1/5/2016,95
78703,1/5/2016,80
78759,1/5/2016,100
78753,1/5/2016,77
78702,1/5/2016,79
78756,1/5/2016,100
78757,1/5/2016,85
78753,1/5/2016,72
78749,1/5/2016,77
78745,1/5/2016,93
78749,1/5/2016,98
78617,1/5/2016,81
78745,1/5/2016,93
78754,1/5/2016,100
78752,1/5/2016,85
78701,1/5/2016,87
78757,1/5/2016,97
78728,1/5/2016,96
78731,1/5/2016,99
78721,1/5/2016,96
78705,1/5/2016,100
78759,1/6/2016,92
78702,1/6/2016,95
78753,1/6/2016,89
78705,1/6/2016,82
78749,1/6/2016,96
78753,1/6/2016,78
78745,1/6/2016,90
78759,1/6/2016,78
78723,1/6/2016,93
78722,1/6/2016,78
78704,1/6/2016,74
78702,1/6/2016,86
78660,1/6/2016,97
78734,1/6/2016,100
78741,1/6/2016,72
78744,1/6/2016,70
78721,1/6/2016,97
78753,1/6/2016,96
78752,1/6/2016,82
78745,1/6/2016,93
78744,1/6/2016,88
78759,1/6/2016,96
78704,1/6/2016,94
78757,1/6/2016,100
78758,1/6/2016,81
78702,1/6/2016,96
78704,1/6/2016,65
78704,1/6/2016,92
78722,1/6/2016,94
78747,1/6/2016,99
78722,1/6/2016,92
78728,1/6/2016,72
78729,1/6/2016,97
78704,1/6/2016,87
78704,1/6/2016,81
78759,1/6/2016,91
78702,1/6/2016,97
78703,1/6/2016,100
78722,1/7/2016,97
78741,1/7/2016,88
78704,1/7/2016,61
78759,1/7/2016,97
78617,1/7/2016,77
78704,1/7/2016,93
78756,1/7/2016,100
78758,1/7/2016,100
78704,1/7/2016,79
78758,1/7/2016,97
78752,1/7/2016,96
78729,1/7/2016,100
78660,1/7/2016,81
78757,1/7/2016,89
78724,1/7/2016,100
78758,1/7/2016,79
78757,1/7/2016,93
78745,1/7/2016,95
78758,1/7/2016,92
78745,1/7/2016,89
78704,1/7/2016,91
78702,1/7/2016,97
78722,1/7/2016,76
78702,1/7/2016,87
78660,1/7/2016,87
78617,1/7/2016,73
78704,1/7/2016,89
78703,1/7/2016,82
78759,1/7/2016,97
78705,1/7/2016,94
78704,1/7/2016,89
78660,1/7/2016,92
78705,1/7/2016,91
78741,1/7/2016,90
78702,1/7/2016,95
78723,1/7/2016,100
78745,1/7/2016,92
78701,1/7/2016,76
78757,1/7/2016,97
78759,1/7/2016,82
78705,1/7/2016,100
78748,1/7/2016,99
78702,1/7/2016,97
78758,1/7/2016,91
78757,1/7/2016,88
78721,1/7/2016,83
78745,1/7/2016,86
78744,1/7/2016,94
78722,1/7/2016,80
78725,1/7/2016,84
78752,1/7/2016,97
78741,1/7/2016,83
78741,1/8/2016,89
78751,1/8/2016,93
78757,1/8/2016,87
78617,1/8/2016,79
78753,1/8/2016,84
78757,1/8/2016,90
78749,1/8/2016,81
78759,1/8/2016,89
78701,1/8/2016,86
78759,1/8/2016,100
78728,1/8/2016,84
78704,1/8/2016,93
78723,1/8/2016,100
78758,1/8/2016,87
78758,1/8/2016,91
78753,1/8/2016,100
78705,1/8/2016,88
78701,1/8/2016,90
78702,1/8/2016,95
78749,1/8/2016,100
78704,1/8/2016,89
78703,1/8/2016,93
78701,1/8/2016,73
78758,1/8/2016,97
78750,1/8/2016,97
78728,1/8/2016,84
78756,1/8/2016,91
78702,1/8/2016,100
78701,1/8/2016,86
78758,1/8/2016,88
78726,1/8/2016,100
78701,1/8/2016,82
78753,1/8/2016,92
78758,1/8/2016,78
78735,1/8/2016,96
78758,1/8/2016,96
78701,1/8/2016,77
78705,1/9/2016,87
78758,1/11/2016,80
78746,1/11/2016,87
78653,1/11/2016,95
78703,1/11/2016,99
78653,1/11/2016,91
78701,1/11/2016,90
78726,1/11/2016,88
78701,1/11/2016,84
78757,1/11/2016,90
78748,1/11/2016,85
78705,1/11/2016,100
78746,1/11/2016,97
78702,1/11/2016,88
