JobPostingID,Title,SalaryBasis,SalaryStart,SalaryEnd,OpeningDate,ClosingDate,VacancyTotal,Organization,JobDescription,JobType,Name,Address1,Address2,City,State,Zip,ContactPhone,ContactExtension,ContactFax,ContactEmail,ContactComments,PostingType,Specialty,WorkZip,OnetCode,SocTitle,Onet,JobDetailsURL,JobURL,Employer,latlng
5756,Storekeeper I,Annual,"$25,536.00","$34,308.00",2017-01-12,2017-02-10,1,Workforce Development,"?	*Performs routine storekeeping duties in a warehouse, or storeroom  ?	*Receives and unpacks incoming inventory items; inspects for quality and quantity; refers major decisions regarding non-conformance with specifications to a designated supervisor  ?	*Labels and places inventory items in appropriate storage areas; rotates as necessary.  Disposes of unused or unneeded inventory as indicated through policy  ?	*Delivers and assembles office furniture  ?	*Fills requisitions and prepares items to be delivered or shipped  ?	*Orders inventory using established specifications to replenish stock based on pre-determined inventory levels and reorder points  ?	*Recommends new or modified storage methods  ?	*Maintains computerized and/or manual records of inventory items received, stored, issued, ordered, returned, disposed, and/or sold  ?	*Takes physical inventories to determine quantities on hand and/or reconcile records  ?	*Operates forklifts, pallet jacks, and/or other material handling equipment  ?	*Maintains clean and orderly storage/stores areas(s)  ?	*Exercises independence in the performance of duties under general supervision  ?	*Perform other related work as assigned",Full-Time,,,,,,,,,5735229814,Leah.Norment@ded.mo.gov,"This position is a merit position.  Interested applicants must apply through the Electronic Application System (EASe) available at http://www.ease.mo.gov/ and be determined eligible.  You will receive an electronic notification from the EASe system to the email address you provided (if determined eligible).  After the closing date, the department will be provided the names of individuals determined eligible and we will contact individuals at that time.",Merit,,65101,49904200,"Installation, Maintenance, and Repair Occupations","Maintenance and Repair Workers, General",,https://mocareers.mo.gov/Details?id=5756,STATE OF MISSOURI,
5818,Public Information Specialist I - II,Annual,"$30,576.00","$48,852.00",2017-01-20,2017-02-10,1,Workforce Development,"�	Operate digital photography and video equipment.  Edit digital images, multi-media and video files utilizing Adobe Suite or equivalent software.    �	Create communications and strategic marketing materials using various software applications.   �	Assist with outreach through social media platforms. Publish information on division websites using content management system.     �	Compose and/or edit materials for content, clarity, organization, grammar, style and format.  Disseminate information in written, verbal and other various methods.  �	Assist with training to improve the techniques of staff in furthering public understanding of programs and services offered by the division.  �	Assist in the production of conference and workshop materials and presentations.    �	Promote Department and Division programs, products and services at conferences or other public events.  �	Provide assistance to the communications team and management on public relation matters as needed.  �	Coordinate the ordering of printed materials.  �	Develop and maintain effective working relationships with staff and general public  �	Perform other related work as assigned",Full-Time,,,,,,,,,5735229814,Leah.Norment@ded.mo.gov,"In order to be considered for this position, you must apply for either the Public Information Specialist I or II position through the EASe application process.  Interested applicants may complete the online process through EASe at:  https://www.ease.mo.gov/Logon/RegisterOrLogon.aspx?ReturnUrl=%2f",Merit,,65101,15119900,Computer and Mathematical Occupations,"Computer Occupations, All Other",,https://mocareers.mo.gov/Details?id=5818,STATE OF MISSOURI,
5840,Senior Office Support Assistant,Annual,"$29,484.00","$30,996.00",2017-01-23,2017-02-10,1,Public Service Commission,"The Public Service Commission is seeking an organized, detail-oriented person with strong interpersonal skills to fill a position in the Data Center Unit, of our Jefferson City office.  This position is responsible for the proper distribution of Commission Orders and Notices.  This position maintains case dockets and service lists, receives and e-files legal documents and compliance filings, answers general inquiries regarding case filings and compliance filings, and provides user support for the e-filing system.  Acts as database administrator by reviewing electronic submissions and ensuring that all data, attachments, and submission details are accurate.  Maintains agency records using a document management system, and receives and responds to Sunshine Requests. Must have ability to perform other technical and clerical work requiring accuracy and independent judgment.  Must possess the ability to effectively communicate via telephone, letter or in person with staff, utility company personnel, the public, and legal counsel.",Full-Time,Sheryl Gregory,200 Madison Street,PO Box 360,Jefferson City,MO,65102-0360,5737513233,,5735264935,pscjobs@psc.mo.gov,"The starting annual salary for this position is $29,484 with a potential increase at the end of a successful probationary period.  Please send an application, resume, a copy of all transcripts and documented typing score by 5:00 pm February 10, 2017 to: MO Public Service Commission, Reference Number GC020217, P.O. Box 360, Jefferson City, Missouri 65102 or via e-mail to pscjobs@psc.mo.gov.",Other,,65102,43919999,Office and Administrative Support Occupations,"Office and Administrative Support Workers, All Other",http://psc.mo.gov/General/Career_Opportunities,https://mocareers.mo.gov/Details?id=5840,STATE OF MISSOURI,"(38.5, -92.14999999999999)"
5875,Secretary (Half-Time) - Veterans Education,Annual,"$11,280.00","$11,280.00",2017-01-26,2017-02-10,1,State of Missouri Department of Elementary and Secondary Education,"Job Opportunity Notice  Secretary (Half-Time)  Annual Salary: $11,280  Half-time, benefited position  Veterans Education & Training  Adult Learning & Vocational Rehabilitation    APPLICATION PROCESS  All applications MUST be submitted electronically to be considered for the review process. Complete the employment application at https://desemo.applicantpro.com/jobs/.  Once on The Missouri Department of Elementary and Secondary Education's website, complete the ""Apply Now"" information to the right, then click ""Apply for this Position"". This will direct you to the online application. Attach a scanned copy of college transcripts (if applicable for the position) with the application. An e-mail confirmation will be sent once the application is received electronically.    NOTE: If a college degree is a requirement for this position, transcripts MUST be submitted with the application in order to be considered for employment.  Failure to include transcripts (when required for the position) with your application will eliminate the application from the review process.     EDUCATION AND EXPERIENCE  Graduation from high school or GED equivalent through which knowledge of English grammar and punctuation, basic typing or keyboarding, and basic mathematics may have been acquired.  Three or more years' experience in progressively responsible clerical duties.    KNOWLEDGE, SKILLS AND ABILITIES  Working knowledge of modern office practices, procedures and equipment.  Proficient in computer software packages such as Microsoft Word, Access, Excel, and PowerPoint.  Working knowledge of business English and spelling; ability to make arithmetic computations and tabulations accurately and with reasonable speed.  Type accurately from rough draft, plain copy, or notes at a working rate of speed.  Maintain moderately complex clerical records and to prepare reports from such records.  Use knowledge of procedures, regulations, and laws in making routine decisions.    EXAMPLES OF WORK PERFORMED  Answer telephone and give information to callers, take messages, or transfer calls to appropriate individuals.  Open incoming mail and answer routine correspondence.  Review documents to ensure complete and correct.  Route documents to appropriate person(s) for review and/or signature.  Update spreadsheets and databases in order to provide service and allow for later analysis.  Proofread letters, manuals, and reports in order to ensure accuracy and to provide service.  Design forms for section use using knowledge of business process and section information needs.  Design informational and publicity brochures and posters in order to communicate services, vacancies, and/or events.  Assist visitors and clients with completing section forms in order to provide service.  Assist with planning, logistics, and registration of conferences and workshops in order to provide service.  Compose and distribute meeting minutes, correspondence, and reports.  Schedule appointments of section staff.  Locate and attach appropriate file to incoming correspondence requiring reply.  File correspondence and other records.  Make copies of correspondence and other printed matter.  Arrange travel schedules and reservations.  Greet and welcome visitors, determine nature of business, and conduct visitors to appropriate person or section.  Compile and maintain lists and records of Troops To Teachers participants.  Interact with School District Personnel concerning Troops To Teachers.  Mail newsletters, promotional material, advertisements and other information in order to provide or receive service.  Order and inventory section supplies and equipment.  Complete expense and other financial forms in order to process reimbursement or payment request.  Provide information to visitors or callers in order to provide service.  Attend meetings in order to receive/convey information.",Part-Time,,,,,MO,,,,,jessica.schwartz@dese.mo.gov,"For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.    https://www.applicantpro.com/j/518554-143297",Other,,64127,43601400,Office and Administrative Support Occupations,"Secretaries, Except Legal, Medical, and Executive",,https://mocareers.mo.gov/Details?id=5875,STATE OF MISSOURI,"(39.091953, -94.5469705)"
5880,Medicaid Specialist,Annual,"$36,924.00","$52,116.00",2017-01-27,2017-02-10,1,MO HealthNet,"Work of this position includes responding to inquiries from providers, participants, members of the general assembly, the Governor's office, the public, and others regarding Managed Care policies and procedures, pricing and fee structure, questionable claims, and other related areas.    Additionally, work of this position includes ensuring the Managed Care Health Plans assigned to this position are following Managed Care policies and procedures and contract requirements and propose enhancements or modifications to policy and procedures and contract requirements as necessary.      Duties of the Medicaid Specialist position include, but are not limited to:  timely review of the Managed Care Compliance Tool to ensure the MO HealthNet Managed Care health plans' compliance with contract provisions; research, resolve, and respond to program inquiries from the Governor's Office and members of the general assembly regarding assigned Managed Care health plans within specified timeframes; research and respond to program inquiries from assigned Managed Care health plans; Respond to complaint letters/issues from providers, Managed Care members, other state agencies, stakeholders, and legal service entities within specified time frames; Work with Managed Care health plans to correct noncompliance through education, requests for corrective action, or other actions deemed appropriate; participate in the implementation of new program and changes to current programs; develop and maintain a working knowledge of MO HealthNet Managed Care policies and procedures, contract requirements, laws, rules/regulations, and provide accurate interpretation as needed; participate in quarterly meetings with Legal Services of Eastern MO, Legal Aid Western MO, Mid-MO Legal Services, and Legal Services of Southern Missouri; review health plan marketing and educational materials; assist in the coordination of opt-out participants, serve on the future system enhancement teams, assist with opt-out requests, coordinate special programs or projects and serve as a back up to assist with evaluating network adequacy and learn Department of Insurance programs used to complete annual network access plans including SAS, SERFF, GeoNetworks, Geo-Coder, Data Cleaner, Excel, Microsoft Access and Adobe Acrobat.",Full-Time,Michelle Anderson,,,,MO,,,,,michelle.r.anderson@dss.mo.gov,,Merit,,65109,13103102,Business and Financial Operations Occupations,"Insurance Adjusters, Examiners, and Investigators",http://www.dss.mo.gov/hrc/jobs/,https://mocareers.mo.gov/Details?id=5880,STATE OF MISSOURI,"(38.5686223, -92.2433487)"
5887,Youth Group Leader,Annual,"$33,276.00","$34,416.00",2017-01-27,2017-02-10,1,Division of Youth Services,"This position assumes responsibility, together with staff, for the safety, personal conduct, care, and therapy of the youth in a group, implements group and individual treatment plans, maintains security in buildings, grounds, and other posts, and intervenes during emergencies or altercations to prevent escapes and gain physical control of youth.",Full-Time,New Day - Day Treatment,Attn: Sharon Alexander,5 merchant Dr.,Hillsboro,MO,63050,6367975266,,6367975834,Sharon.alexander@dss.mo.gov,"You must include a cover letter, resume, photocopy of official transcripts, DSS Application for Employment and DYS Employment Application Addendum.",Merit,,63050,21102999,Community and Social Services Occupations,"Social Workers, All Other",,https://mocareers.mo.gov/Details?id=5887,STATE OF MISSOURI,"(38.2518653, -90.5825359)"
5882,Vocational Teacher I-II-III (Bldg Trades) (MCC),Annual,"$30,576.00","$52,116.00",2017-01-27,2017-02-10,1,DORS Education,"Plans and prepares the course outline and content.    Develops and reviews teaching aids and materials.    Supervises and instructs students in basic and advanced career or technical occupational skills (e.g. plumbing, welding, carpentry, automotive mechanics, electrical wiring, metalworking, computer repair, food service, cosmetology, etc.).    Conducts formal instruction in the theories of career and technical occupations.    Prepares various types of equipment necessary for teaching sessions.    Prepares reports based on student attendance, performance, progress, and skills assimilation.    Maintains equipment in good operating condition and in accordance to manufacturer's safety standards.    Develops lesson plans, prepares pre-assessment evaluations, and establishes learning objectives in accordance with program goals.    Maintains discipline in accordance with established policies.    Orders supplies; maintains inventory and other records.    Teaches pro-social behavioral patterns conducive to success in an occupation, including safety, health, ethics, employability, and related skills.    Assists lower level teachers in developing teaching skills.    Exercises a high degree of independence in the performance of responsibilities; receives administrative direction to ensure conformance with established guidelines.    Performs other related work as assigned.",Full-Time,Travis Terry,P.O. Box 7,5201 S. Morley,Moberly,MO,65270,6602633778,4400,,Travis.Terry@doc.mo.gov,,Merit,1493  Carpentry I  -  0609 Con,65270,25119400,"Education, Training, and Library Occupations",Vocational Education Teachers Postsecondary,,https://mocareers.mo.gov/Details?id=5882,STATE OF MISSOURI,"(39.4199303, -92.4208713)"
5883,Administrative Assistant,Semi-Monthly,"$1,490.50","$1,599.50",2017-01-27,2017-02-10,1,Division of Legal Services,"The ideal candidate will provide clerical support to the Special Counsels in Administration; maintaining calendars and scheduling meetings; making travel arrangements; track and maintain detailed information on the department�s open records requests; work within the SAM II HR system coding time sheets, as well as assisting Division of Finance & Administrative Services in time sheets for hourly employees; assist in planning and coordinating CLE programs for the division; assist ITSD (Information Technology Services Division) in providing permission to secured systems by administering ASAPs (Automated Security Access Processing) and maintaining user-ids and security groups for DLS; submitting work products in an accurate, timely, professional and confidential manner.",Full-Time,Diana Jones,PO Box 1527,,Jefferson City,MO,65102,,,,Diana.L.Jones@dss.mo.gov,"Please complete the DSS Employment Application http://dss.mo.gov/hrc/pdf/mo886-1315.pdf, submit a cover letter, detailed resume, and a list of references",Other,,65101,43919999,Office and Administrative Support Occupations,"Office and Administrative Support Workers, All Other",,https://mocareers.mo.gov/Details?id=5883,STATE OF MISSOURI,"(38.528107, -92.1646722)"
5884,Supervisor - Adult Education,Annual,"$38,352.00","$38,352.00",2017-01-27,2017-02-10,1,State of Missouri Department of Elementary and Secondary Education,"Job Opportunity Notice  Supervisor - Adult Education  Annual Salary: $38,352  Full-time, benefited position  Adult Education & Literacy  Adult Learning & Vocational Rehabilitation    APPLICATION PROCESS  All applications MUST be submitted electronically to be considered for the review process. Complete the employment application at https://desemo.applicantpro.com/jobs/.  Once on The Missouri Department of Elementary and Secondary Education's website, complete the ""Apply Now"" information to the right, then click ""Apply for this Position"". This will direct you to the online application. Attach a scanned copy of college transcripts (if applicable for the position) with the application. An e-mail confirmation will be sent once the application is received electronically.    NOTE: If a college degree is a requirement for this position, transcripts MUST be submitted with the application in order to be considered for employment.  Failure to include transcripts (when required for the position) with your application will eliminate the application from the review process.     EXAMPLES OF WORK PERFORMED  Serve as a team member of the State office of Adult Education initiatives to efficiently and effectively utilize resources and align funding to strengthen adult education instructional delivery in Missouri.  Serve as team lead for implementation and continuous improvement of career pathways in the field of adult education.  Identify resources and offer technical assistance to aid in local partnership development to meet federal requirements.  Provides effective communication to local AEL programs on planning and implementation of AEL activities and services in the form of technical assistance/guidance to local AEL programs.  Supervises specialty areas as assigned by the section director, e.g. distance learning, monitoring of local programs, professional development requirements for local AEL teachers, postsecondary education transitions.  Assists section director in implementing federal/state policies procedures relating to the operation of the AEL program.  Establish and maintain effective working relationships with local school officials, community colleges, local community-based organizations, civic leaders, and business, industry, and social services groups.  Proficient in Microsoft Office Suite to communicate and create reports as needed by local AEL programs or AEL staff.  Must be able to lift 25 pounds.  This position is required to travel occasionally in-state or out-of-state.  Performs other related work as assigned.",Full-Time,,,,,MO,,,,,jessica.schwartz@dese.mo.gov,"For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.    https://www.applicantpro.com/j/518866-143297",Other,,65101,25909999,"Education, Training, and Library Occupations","Education, Training, and Library Workers, All Other",,https://mocareers.mo.gov/Details?id=5884,STATE OF MISSOURI,"(38.528107, -92.1646722)"
5885,Accounting Clerk,Annual,"$25,536.00","$34,308.00",2017-01-27,2017-02-10,1,SLDDTC,"Are you good with numbers?  Are you looking for a challenging career in a fast-paced office?  If so, St. Louis Developmental Disabilities Treatment Centers (SLDDTC) is currently recruiting to fill an Accounting Clerk position in the East District Consumer Banking Office located at Bellefontaine Habilitation Center, located at 10695 Bellefontaine Rd, St. Louis, Missouri 63137.  Working hours will be 8:00 am until 4:30 pm with Saturday/Sunday/holidays as scheduled days off.    The person in this position must be self-motivated, dependable, and detailed oriented and have excellent organizational skills.  Applicants must have an introductory knowledge of accounting principles and practices as well as the ability to apply general bookkeeping principles. Experience in data entry, operating a calculator, computer, copier and fax is required.  Must have working knowledge of Microsoft Word, Excel and have general computer skills.",Full-Time,CHERYL PINSON,2312 LEMAY FERRY ROAD,,ST LOUIS,MO,63125,3148945418,,3148945488,CHERYL.PINSON@DMH.MO.GOV,,Merit,,63137,43303100,Office and Administrative Support Occupations,"Bookkeeping, Accounting, and Auditing Clerks",,https://mocareers.mo.gov/Details?id=5885,STATE OF MISSOURI,"(38.7479435, -90.2113571)"
